Año,sector_economico_1,sector_economico_2,ta,asegurados
31/03/2010,0,1,40878,
30/04/2010,0,1,41721,
31/05/2010,0,1,38311,
30/06/2010,0,1,37119,
31/07/2010,0,1,37401,
31/08/2010,0,1,39438,
30/09/2010,0,1,38665,
31/10/2010,0,1,40451,
30/11/2010,0,1,41372,
31/12/2010,0,1,42838,
31/01/2011,0,1,43409,
28/02/2011,0,1,44749,
31/03/2011,0,1,44349,
30/04/2011,0,1,41626,
31/05/2011,0,1,40528,
30/06/2011,0,1,40741,
31/07/2011,0,1,41100,
31/08/2011,0,1,41336,
30/09/2011,0,1,40923,
31/10/2011,0,1,42182,
30/11/2011,0,1,43803,
31/12/2011,0,1,46454,
31/01/2012,0,1,47854,
29/02/2012,0,1,46879,
31/03/2012,0,1,47122,
30/04/2012,0,1,46455,
31/05/2012,0,1,42715,
30/06/2012,0,1,42630,
31/07/2012,0,1,43755,
31/08/2012,0,1,43819,
30/09/2012,0,1,42259,
31/10/2012,0,1,46112,
30/11/2012,0,1,48835,
31/12/2012,0,1,51625,
31/01/2013,0,1,53076,
28/02/2013,0,1,53340,
31/03/2013,0,1,52506,
30/04/2013,0,1,52990,
31/05/2013,0,1,52330,
30/06/2013,0,1,50254,
31/07/2013,0,1,50158,
31/08/2013,0,1,47839,
30/09/2013,0,1,46867,
31/10/2013,0,1,50390,
30/11/2013,0,1,52126,
31/12/2013,0,1,55778,
31/01/2014,0,1,57738,
28/02/2014,0,1,57344,
31/03/2014,0,1,58015,
30/04/2014,0,1,57480,
31/05/2014,0,1,55947,
30/06/2014,0,1,50687,
31/07/2014,0,1,52721,
31/08/2014,0,1,50121,
30/09/2014,0,1,52447,
31/10/2014,0,1,55609,
30/11/2014,0,1,58377,
31/12/2014,0,1,60215,
31/01/2015,0,1,60321,
28/02/2015,0,1,60606,
31/03/2015,0,1,62378,
30/04/2015,0,1,62273,
31/05/2015,0,1,59420,
30/06/2015,0,1,52613,
31/07/2015,0,1,52991,
31/08/2015,0,1,51138,
30/09/2015,0,1,55844,
31/10/2015,0,1,58636,
30/11/2015,0,1,63528,
31/12/2015,0,1,64439,
31/01/2016,0,1,65091,
29/02/2016,0,1,64964,
31/03/2016,0,1,66457,
30/04/2016,0,1,66778,
31/05/2016,0,1,61377,
30/06/2016,0,1,60143,
31/07/2016,0,1,59613,
31/08/2016,0,1,60417,
30/09/2016,0,1,63166,
31/10/2016,0,1,67848,
30/11/2016,0,1,69794,
31/12/2016,0,1,71073,
31/01/2017,0,1,72504,
28/02/2017,0,1,72042,
31/03/2017,0,1,76240,
30/04/2017,0,1,72998,
31/05/2017,0,1,68747,
30/06/2017,0,1,67242,
31/07/2017,0,1,61164,
31/08/2017,0,1,68507,
30/09/2017,0,1,70985,
31/10/2017,0,1,73851,
30/11/2017,0,1,77603,
31/12/2017,0,1,77954,
31/01/2018,0,1,80298,
28/02/2018,0,1,81043,
31/03/2018,0,1,81904,
30/04/2018,0,1,80000,
31/05/2018,0,1,76528,
30/06/2018,0,1,72676,
31/07/2018,0,1,66519,
31/08/2018,0,1,74416,
30/09/2018,0,1,77336,
31/10/2018,0,1,80390,
30/11/2018,0,1,81898,
31/12/2018,0,1,82917,
31/01/2019,0,1,86566,
28/02/2019,0,1,88534,
31/03/2019,0,1,89154,
30/04/2019,0,1,88781,
31/05/2019,0,1,83441,
30/06/2019,0,1,79230,
31/07/2019,0,1,70330,
31/08/2019,0,1,78529,
30/09/2019,0,1,82644,
31/10/2019,0,1,86254,
30/11/2019,0,1,87168,
31/12/2019,0,1,87038,
31/01/2020,0,1,89815,
29/02/2020,0,1,90229,
31/03/2020,0,1,90491,
30/04/2020,0,1,92091,
31/05/2020,0,1,89623,
30/06/2020,0,1,82566,
31/07/2020,0,1,72306,
31/08/2020,0,1,81555,
30/09/2020,0,1,84571,
31/10/2020,0,1,87868,
30/11/2020,0,1,91070,
31/12/2020,0,1,89141,
31/01/2021,0,1,90879,
28/02/2021,0,1,91852,
31/03/2021,0,1,89875,
30/04/2021,0,1,90131,
31/05/2021,0,1,84617,
30/06/2021,0,1,83074,
31/07/2021,0,1,83743,
31/08/2021,0,1,87987,
30/09/2021,0,1,90653,
31/10/2021,0,1,92825,
30/11/2021,0,1,94695,
31/12/2021,0,1,92102,
31/01/2022,0,1,97140,
28/02/2022,0,1,98642,
31/03/2022,0,1,100243,
30/04/2022,0,1,96108,
31/05/2022,0,1,92092,
30/06/2022,0,1,90670,
31/07/2022,0,1,87732,
31/08/2022,0,1,90473,
30/09/2022,0,1,94353,
31/10/2022,0,1,96089,
30/11/2022,0,1,96008,
31/12/2022,0,1,94055,
31/01/2023,0,1,100760,100760
28/02/2023,0,1,101439,101439
31/03/2023,0,1,101871,101871
30/04/2023,0,1,98363,98363
31/05/2023,0,1,95347,95347
30/06/2023,0,1,94157,94157
31/07/2023,0,1,91508,91508
31/08/2023,0,1,90842,90842
30/09/2023,0,1,93023,93023
31/10/2023,0,1,94889,94889
30/11/2023,0,1,96583,96583
31/12/2023,0,1,94347,94347
31/01/2024,0,1,97459,97459
29/02/2024,0,1,97205,97205
31/03/2024,0,1,96732,96732
30/04/2024,0,1,94482,94482
31/05/2024,0,1,91801,91801
30/06/2024,0,1,89306,89306
31/07/2024,0,1,83894,83894
31/08/2024,0,1,82976,82976
30/09/2024,0,1,84496,84496
31/10/2024,0,1,86543,86543
30/11/2024,0,1,88828,88828
31/12/2024,0,1,90121,90121
31/01/2025,0,1,93303,93303
28/02/2025,0,1,95184,95184
31/03/2025,0,1,93952,93952
30/04/2025,0,1,89155,89155
31/05/2025,0,1,88625,88625
30/06/2025,0,1,85071,85071
31/07/2025,0,1,79893,79893
31/08/2025,0,1,80372,80372
30/09/2025,0,1,80966,80966
31/10/2025,0,1,82083,82083
30/11/2025,0,1,82831,82831
31/12/2025,0,1,83103,83103
31/01/2026,0,1,87500,87500
31/03/2010,0,2,15525,
30/04/2010,0,2,15533,
31/05/2010,0,2,15637,
30/06/2010,0,2,15710,
31/07/2010,0,2,15874,
31/08/2010,0,2,16081,
30/09/2010,0,2,16223,
31/10/2010,0,2,16472,
30/11/2010,0,2,16585,
31/12/2010,0,2,16373,
31/01/2011,0,2,16401,
28/02/2011,0,2,16525,
31/03/2011,0,2,16660,
30/04/2011,0,2,16652,
31/05/2011,0,2,16896,
30/06/2011,0,2,16894,
31/07/2011,0,2,17005,
31/08/2011,0,2,17181,
30/09/2011,0,2,17191,
31/10/2011,0,2,17204,
30/11/2011,0,2,17197,
31/12/2011,0,2,17143,
31/01/2012,0,2,17128,
29/02/2012,0,2,17122,
31/03/2012,0,2,17181,
30/04/2012,0,2,17239,
31/05/2012,0,2,17198,
30/06/2012,0,2,17124,
