Clasificación IMSS,,,,,,,,,,
sector_economico_1,sector_economico_2,,,descripción sector_economico_2,,,,,,
0,1,,,AGRICULTURA,,,,,,
0,2,,,GANADERIA,,,,,,
0,3,,,SILVICULTURA,,,,,,
0,4,,,PESCA,,,,,,
0,5,,,CAZA,,,,,,
1,1,,,EXTRACCION BENEF. DE CARBON MINERAL GRAFITO EXCEPT,,,,,,
1,2,,,EXPLORACION Y EXTRACCION DE PETROLEO CRUDO Y GAS N,,,,,,
1,3,,,EXTRACCION Y BENEFICIO DE MINERALES METALICOS,,,,,,
1,4,,,EXPLOTACION DE SAL,,,,,,
2,0,,,ELABORACION DE ALIMENTOS,,,,,,
2,1,,,ELABORACION DE BEBIDAS,,,,,,
2,2,,,BENEFICIO Y/O FABRICACION DE PRODUCTOS DE TABACO,,,,,,
2,3,,,INDUSTRIA TEXTIL,,,,,,
2,4,,,"CONFEC.PRENDAS VESTIR,OTROS ARTS.BASE TEXTILES Y M",,,,,,
2,5,,,FABRICACION DE CALZADO E INDUSTRIA DEL CUERO,,,,,,
2,6,,,INDUST.Y PRODUCTOS DE MADERA Y CORCHO;EXCEPTO MUEB,,,,,,
2,7,,,FAB.Y/O REP.MUEBLES MADERA Y SUS PARTES;EXC.METAL,,,,,,
2,8,,,INDUSTRIA DE PAPEL,,,,,,
2,9,,,"INDUSTRIAS EDITORIAL, DE IMPRESION Y CONEXAS",,,,,,
3,0,,,INDUSTRIA QUIMICA,,,,,,
3,1,,,REFINACION DEL PETROLEO Y DERIVADOS DEL CARBON MIN,,,,,,
3,2,,,FABRICACION DE PRODUCTOS DE HULE Y PLASTICO,,,,,,
3,3,,,FAB.DE PROD.DE MINERALES NO METALICOS;EXCEPTO PETR,,,,,,
3,4,,,INDUSTRIAS METALICAS BASICAS,,,,,,
3,5,,,FAB. DE PRODS. METALICOS; EXCEPTO MAQUINARIA Y EQU,,,,,,
3,6,,,"FAB. ENSAMBLE Y REP. DE MAQUINARIA,EQUIPO Y SUS PA",,,,,,
3,7,,,"FAB.Y ENSAMBLE DE MAQUINARIA,EQUIPOS,APARATOS,Y AC",,,,,,
3,8,,,"CONSTRUCCION, RECONSTRUC.Y ENSAMBLE DE EQUIPO TRAN",,,,,,
3,9,,,OTRAS INDUSTRIAS MANUFACTURERAS,,,,,,
4,1,,,CONSTRUCCION DE EDIFICACIONES Y DE OBRAS DE ING. C,,,,,,
4,2,,,TRABAJOS REALIZADOS POR CONTRATISTAS ESPECIALIZADO,,,,,,
5,0,,,"GENERACION, TRANSMISION Y DISTRIBUCION DE ENERGIA",,,,,,
5,1,,,CAPTACION Y SUMINISTRO DE AGUA POTABLE Y TRATADA,,,,,,
6,1,,,"COMPRAVENTA DE ALIMENTOS, BEBIDAS Y PROD. DEL TABA",,,,,,
6,2,,,COMPRAVENTA DE PRENDAS DE VESTIR Y ART. DE USO PER,,,,,,
6,3,,,COMPRAVENTA DE ARTICULOS PARA EL HOGAR,,,,,,
6,4,,,COMPRAVENTA EN TIENDAS DE AUTOSERVICIO Y DEPTOS. E,,,,,,
6,5,,,"COMPRAVENTA DE GASES, COMBUSTIBLES Y LUBRICANTES",,,,,,
6,6,,,"COMPRAVENTA DE MATERIAS PRIMAS, MATERIALES Y AUXIL",,,,,,
6,7,,,"COMPRAVENTA DE MAQ. EQUIPO, INSTR. APARATOS, HERRA",,,,,,
6,8,,,COMPRAVENTA DE EQ. DE TRANSPORTE;SUS REFACC. Y ACC,,,,,,
6,9,,,COMPRAVENTA DE INMUEBLES Y ARTICULOS DIVERSOS,,,,,,
7,1,,,TRANSPORTE TERRESTRE,,,,,,
7,2,,,TRANSPORTE POR AGUA,,,,,,
7,3,,,TRANSPORTE AEREO,,,,,,
7,4,,,SERVICIOS CONEXOS AL TRANSPORTE,,,,,,
7,5,,,SERVICIOS RELACIONADOS CON EL TRANSPORTE EN GENERA,,,,,,
7,6,,,COMUNICACIONES,,,,,,
8,1,,,"SERV. FINANC. Y DE SEGUROS (BANCOS, FINANCIERAS, C",,,,,,
8,2,,,SERVS. COLATERALES A INST. FINANCIERAS Y DE SEGURO,,,,,,
8,3,,,SERVICIOS RELACIONADOS CON INMUEBLES,,,,,,
8,4,,,SERVICIOS PROFESIONALES Y TECNICOS,,,,,,
8,5,,,SERVICIOS DE ALQUILER; EXCEPTO DE INMUEBLES,,,,,,
8,6,,,SERVICIOS DE ALOJAMIENTO TEMPORAL,,,,,,
8,7,,,PREPARACION Y SERVICIO DE ALIMENTOS Y BEBIDAS,,,,,,
8,8,,,SERVICIOS RECREATIVOS Y DE ESPARCIMIENTO,,,,,,
8,9,,,SERVICIOS PERSONALES PARA EL HOGAR Y DIVERSOS,,,,,,
9,1,,,"SERVS.DE ENSENANZA,INVEST.CIENT.Y DIFUSION CULTURA",,,,,,
9,2,,,"SERVICIOS MEDICOS,ASISTENCIA SOCIAL Y VETERINARIOS",,,,,,
9,3,,,"AGRUP.MERC.,PROF.CIVICAS,POLITICAS,LABOR Y RELIG.",,,,,,
9,4,,,SERVICIOS DE ADMINISTRACION PUBLICA Y SEGURIDAD SO,,,,,,
9,9,,,SERV. DE ORGANIZACIONES INTERNACIONALES Y EXTRATER,,,,,,
