Año,Unnamed: 0,sector_economico_1,sector_economico_2,ta,HWES1
2010-02-28,0,0.0,1.0,40878,40878.0
2010-03-31,1,0.0,1.0,41721,40878.0
2010-04-30,2,0.0,1.0,38311,40913.125
2010-05-31,3,0.0,1.0,37119,40804.703125
2010-06-30,4,0.0,1.0,37401,40651.132161458336
2010-07-31,5,0.0,1.0,39438,40515.70998806424
2010-08-31,6,0.0,1.0,38665,40470.80540522823
2010-09-30,7,0.0,1.0,40451,40395.56351334372
2010-10-31,8,0.0,1.0,41372,40397.8733669544
2010-11-30,9,0.0,1.0,42838,40438.461976664636
2010-12-31,10,0.0,1.0,43409,40538.44272763694
2011-01-31,11,0.0,1.0,44749,40658.04928065207
2011-02-28,12,0.0,1.0,44349,40828.5055606249
2011-03-31,13,0.0,1.0,41626,40975.192828932195
2011-04-30,14,0.0,1.0,40528,41002.30979439335
2011-05-31,15,0.0,1.0,40741,40982.54688629363
2011-06-30,16,0.0,1.0,41100,40972.48243269807
2011-07-31,17,0.0,1.0,41336,40977.795664668985
2011-08-31,18,0.0,1.0,40923,40992.720845307784
2011-09-30,19,0.0,1.0,42182,40989.81581008663
2011-10-31,20,0.0,1.0,43803,41039.49015133302
2011-11-30,21,0.0,1.0,46454,41154.636395027475
2011-12-31,22,0.0,1.0,47854,41375.443211901336
2012-01-31,23,0.0,1.0,46879,41645.38307807211
2012-02-29,24,0.0,1.0,47122,41863.45044981911
2012-03-31,25,0.0,1.0,46455,42082.55668107665
2012-04-30,26,0.0,1.0,42715,42264.741819365125
2012-05-31,27,0.0,1.0,42630,42283.50257689158
2012-06-30,28,0.0,1.0,43755,42297.939969521096
2012-07-31,29,0.0,1.0,43819,42358.65080412439
2012-08-31,30,0.0,1.0,42259,42419.49868728587
2012-09-30,31,0.0,1.0,46112,42412.811241982294
2012-10-31,32,0.0,1.0,48835,42566.944106899704
2012-11-30,33,0.0,1.0,51625,42828.113102445546
2012-12-31,34,0.0,1.0,53076,43194.65005651031
2013-01-31,35,0.0,1.0,53340,43606.372970822384
2013-02-28,36,0.0,1.0,52506,44011.940763704784
2013-03-31,37,0.0,1.0,52990,44365.85989855042
2013-04-30,38,0.0,1.0,52330,44725.199069444156
2013-05-31,39,0.0,1.0,50254,45042.06577488398
2013-06-30,40,0.0,1.0,50158,45259.22970093048
2013-07-31,41,0.0,1.0,47839,45463.34513005838
2013-08-31,42,0.0,1.0,46867,45562.33074963927
2013-09-30,43,0.0,1.0,50390,45616.6919684043
2013-10-31,44,0.0,1.0,52126,45815.57980305413
2013-11-30,45,0.0,1.0,55778,46078.51397792687
2013-12-31,46,0.0,1.0,57738,46482.65922884659
2014-01-31,47,0.0,1.0,57344,46951.63176097799
2014-02-28,48,0.0,1.0,58015,47384.647104270574
2014-03-31,49,0.0,1.0,57480,47827.57847492597
2014-04-30,50,0.0,1.0,55947,48229.762705137386
2014-05-31,51,0.0,1.0,50687,48551.314259089995
2014-06-30,52,0.0,1.0,52721,48640.30116496125
2014-07-31,53,0.0,1.0,50121,48810.330283087875
2014-08-31,54,0.0,1.0,52447,48864.941521292545
2014-09-30,55,0.0,1.0,55609,49014.19395790536
2014-10-31,56,0.0,1.0,58377,49288.97754299263
2014-11-30,57,0.0,1.0,60215,49667.64514536794
2014-12-31,58,0.0,1.0,60321,50107.11826431095
2015-01-31,59,0.0,1.0,60606,50532.696669964665
2015-02-28,60,0.0,1.0,62378,50952.41764204947
2015-03-31,61,0.0,1.0,62273,51428.48357363074
2015-04-30,62,0.0,1.0,59420,51880.33842472947
2015-05-31,63,0.0,1.0,52613,52194.490990365746
2015-06-30,64,0.0,1.0,52991,52211.92886576718
2015-07-31,65,0.0,1.0,51138,52244.39016302688
2015-08-31,66,0.0,1.0,55844,52198.29057290076
2015-09-30,67,0.0,1.0,58636,52350.19513236323
2015-10-31,68,0.0,1.0,63528,52612.10366851476
2015-11-30,69,0.0,1.0,64439,53066.93268232665
2015-12-31,70,0.0,1.0,65091,53540.76882056305
2016-01-31,71,0.0,1.0,64964,54022.02845303959
2016-02-29,72,0.0,1.0,66457,54477.94393416294
2016-03-31,73,0.0,1.0,66778,54977.07127023948
2016-04-30,74,0.0,1.0,61377,55468.776633979505
2016-05-31,75,0.0,1.0,60143,55714.9526075637
2016-06-30,76,0.0,1.0,59613,55899.454582248545
2016-07-31,77,0.0,1.0,60417,56054.18564132152
2016-08-31,78,0.0,1.0,63166,56235.96957293313
2016-09-30,79,0.0,1.0,67848,56524.72084072758
2016-10-31,80,0.0,1.0,69794,56996.524139030604
2016-11-30,81,0.0,1.0,71073,57529.752299904336
2016-12-31,82,0.0,1.0,72504,58094.054287408326
2017-01-31,83,0.0,1.0,72042,58694.46869209965
2017-02-28,84,0.0,1.0,76240,59250.61582992883
2017-03-31,85,0.0,1.0,72998,59958.50683701513
2017-04-30,86,0.0,1.0,68747,60501.8190521395
2017-05-31,87,0.0,1.0,67242,60845.36825830036
2017-06-30,88,0.0,1.0,61164,61111.89458087118
2017-07-31,89,0.0,1.0,68507,61114.06564000155
2017-08-31,90,0.0,1.0,70985,61422.104571668155
2017-09-30,91,0.0,1.0,73851,61820.558547848654
2017-10-31,92,0.0,1.0,77603,62321.8269416883
