,Año,2010,2010.1,2010.2,2010.3,2011,2011.1,2011.2,2011.3,2012,2012.1,2012.2,2012.3,2013,2013.1,2013.2,2013.3,2014,2014.1,2014.2,2014.3,2015,2015.1,2015.2,2015.3,2016,2016.1,2016.2,2016.3,2017,2017.1,2017.2,2017.3,2018,2018.1,2018.2,2018.3,2019,2019.1,2019.2,2019.3,2020,2020.1,2020.2,2020.3,2021,2021.1,2021.2,2021.3,2022,2022.1,2022.2,2022.3,2023,2023.1
0,Columnas,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2
1,111 - Agricultura,341063.915,466580.473,323870.597,441958.107,348272.583,385824.919,318443.223,447012.131,362824.69,453975.543,322799.685,499940.117,373193.285,495160.21,348729.304,526744.113,399227.565,506438.259,376192.72,533688.328,425805.96,497225.748,359800.422,562181.374,423222.335,519549.752,401868.337,590218.361,458518.592,537191.347,395111.036,619701.361,483592.677,562070.56,393262.46,626492.522,497414.198,554351.814,401171.786,607238.091,477845.041,541389.348,429749.939,610245.716,477743.922,578813.189,415695.969,640313.04,479049.254,579839.641,426250.972,701909.52,488775.444,591658.916
2,112 - Cría y explotación de animales,214645.198,223598.046,234879.545,238910.775,215917.756,222477.047,240570.103,244816.258,221174.899,231591.051,239389.461,244235.396,217650.271,224224.957,232604.715,239456.392,218259.095,228665.82,235622.519,243690.314,221927.916,231966.364,241318.154,245512.695,219366.725,228196.825,237155.937,244881.164,220694.647,230405.493,244890.745,252479.711,227164.455,235926.407,248835.303,258206.215,230778.266,241023.455,255181.054,265217.993,238121.471,247324.019,265509.261,273655.333,242709.508,254639.865,267938.055,277542.248,249258.696,261415.555,274393.947,284041.31,253409.793,266599.246
3,113 - Aprovechamiento forestal,19079.724,21394.82,19462.358,22108.726,17950.593,21743.678,19328.217,22465.264,18966.265,22459.068,19438.075,21411.16,18629.725,21118.105,18420.43,20955.368,18779.232,20881.688,19137.122,20316.529,20196.849,21277.12,19244.601,20884.154,19457.224,21930.08,21048.488,23217.948,21800.277,23675.176,22178.246,23224.301,21961.491,23561.04,22227.823,23012.785,22084.282,23030.043,22060.151,23923.884,24860.501,21079.286,24352.266,27405.455,23428.257,23986.87,24326.465,25371.856,24263.069,22407.379,23115.518,24798.09,23132.752,21717.916
4,"114 - Pesca, caza y captura",7107.197,6707.911,6137.927,9152.373,5121.073,5912.703,7585.554,10746.925,5531.222,6372.659,6957.126,9355.438,5883.781,6146.514,7255.801,11241.888,6955.252,7144.355,7791.944,11520.821,9523.668,6949.775,8783.899,15033.39,8779.554,7961.372,9635.997,15363.282,8057.715,7255.516,9352.903,14311.322,8163.306,8646.635,9250.23,12350.481,6444.342,7099.007,7236.362,10426.877,7268.736,6114.072,6345.139,9469.084,6810.759,7283.117,7280.347,10999.322,6952.323,6216.735,6851.943,10496.633,6745.127,6637.909
5,115 - Servicios relacionados con las actividades agropecuarias y forestales,4618.411,4732.202,3932.631,4132.972,4069.119,4043.908,3875.472,4637.461,4563.828,4726.652,4245.495,5292.937,4591.759,5473.263,4267.304,5071.171,5120.101,5497.574,4523.809,5296.553,5253.356,4872.457,4744.661,5512.702,4627.076,5657.576,5313.532,5926.976,4824.224,5627.304,5475.792,7073.811,5389.877,5960.37,5104.48,7200.957,5514.043,5576.475,5234.712,6900.745,5949.845,5680.896,4654.52,6699.591,5585.123,5730.783,5096.244,7310.447,5728.803,5692.767,4918.594,7268.778,6099.641,5808.053
6,211 - Extracción de petróleo y gas,895049.662,896213.623,905033.949,897052.882,887672.195,891108.299,887100.951,888557.299,882038.227,881634.97,889361.181,889243.014,871989.956,869552.431,876295.077,881323.555,861803.591,863314.798,850408.725,836604.182,807299.407,784681.226,808981.784,809332.599,786623.134,765290.136,755730.805,728077.369,697766.711,698854.701,656835.754,649489.43,637964.32,633263.256,625061.785,589873.039,559655.904,563276.776,577956.904,579318.612,587186.757,564214.537,568567.336,572474.139,571404.913,584784.965,595383.09,602827.164,598110.252,608302.691,619476.121,622048.355,622649.525,636953.954
7,"212 - Minería de minerales metálicos y no metálicos, excepto petróleo y gas",201890.374,212727.957,209110.139,217333.001,213071.743,233259.384,227537.511,238060.326,252266.643,257072.321,246346.763,246523.938,268121.621,267291.23,249455.851,266017.27,254254.829,268351.276,262135.863,268251.705,262176.508,262220.496,264938.829,261278.21,263204.095,277858.136,275346.029,277589.108,268475.764,279074.536,271150.693,273178.855,267598.3,273074.844,259051.264,260545.796,248699.031,251547.021,253943.672,261533.768,268085.961,216373.506,275871.507,289525.038,271606.781,270917.781,269758.432,276285.226,278154.448,276744.171,276406.016,283861.812,277046.655,273307.906
8,213 - Servicios relacionados con la minería,81632.818,99474.299,81330.494,70088.321,71763.596,77779.353,81291.236,98657.735,74549.483,80252.377,85437.14,98138.416,74786.537,76011.731,86702.896,95493.831,84819.443,75902.646,93280.848,84001.683,90110.79,82877.899,77925.905,67720.662,82316.636,62669.905,66440.806,69202.445,70670.225,60953.058,65106.1,63793.665,62569.096,60198.311,63220.73,60885.596,70086.699,63514.551,81599.48,73880.607,83466.662,70493.291,72746.669,57491.866,66133.138,63340.841,72842.701,63009.316,70467.389,76926.253,70513.251,77433.001,80463.828,78804.583
