,111,112,113-115,114,21-1,21-2,22,23,311,312,313-314,315-316,321,322-323,324-326,327,331-332,333-336,337,339,43,46,48-49,51,52,53,54,55,56,61,62,71,72,81
111,0.009892099776794294,0.03924310968701058,0.0055564462299292,0.0005218741412065,0.0,0.0,2.9479097447317183e-08,0.0002465275077643358,0.04232245400075373,0.018440001618364794,0.0701966715107367,0.0024248133400245,0.0047224959927889,1.3531935050426511e-05,0.0005470206281601512,5.628047299958582e-06,9.4824227014638e-09,1.2375721554613257e-09,4.6058426881267e-09,0.0005600262094502,1.1534002244188238e-07,0.0,0.0,2.329538658513499e-07,0.0,1.2729245243321857e-08,0.00011816474552503267,0.0,0.0,2.689707218784801e-06,0.0009403712289398574,0.0,0.030904026036828045,0.0002481302973205664
112,0.0074198850608302,0.01474224309485615,0.0,0.0,0.0,0.0,0.0,7.087787777098998e-08,0.1457477648404931,4.377183601340388e-06,0.0035556031178248,8.867862506517843e-06,0.0,0.0,0.0001089606102733,0.0,0.0,0.0,0.0,0.0005169227215477,2.5844438332690145e-07,0.0,0.0,1.0191731630996561e-07,0.0,9.099002277443048e-09,0.000882058879685,0.0,0.0,0.0,0.0003912925115125,0.0,0.0013707391066001,3.112001333042714e-06
113-115,0.001013384813684117,0.00015245315068361726,0.019165119810326203,0.0008527223219411,0.0,8.618443390001033e-07,1.2708716418669725e-07,1.101342732992594e-08,0.00036250483133053993,0.0,0.001570236058493309,0.00047429773881685946,0.053950002292284416,0.0009688534118156198,0.00032585314307363093,0.00011143474176188831,4.762655834605153e-06,2.0866653976265507e-07,0.0008649231834663157,0.0011486116396972638,5.726188098709352e-07,0.0,0.0,1.01250089711552e-07,0.0,5.92234238294403e-08,1.0999045115999253e-06,0.0,0.0,3.0111556681175244e-09,3.209000775696886e-10,0.0,2.0424148863371266e-09,1.5496061162735144e-08
114,0.0,1.3201962897125912e-09,0.0,0.00040165467048450796,0.0,0.0,0.0,1.5306266758903953e-10,0.00010022739760573463,0.0,0.0,0.0,0.0,1.9660147706516524e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16967914134369e-07,0.0,0.0,0.0,0.0,1.2702256565077623e-07,0.00010247238843709064,0.0
21-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21-2,9.174902815063574e-06,3.0365331033851553e-05,5.3774370817681354e-05,0.0005748783559857,0.0,0.007439822721724889,0.0035191111119680517,0.0031197093010047233,3.967960485197364e-05,0.00012965065654653714,1.8200323778469857e-06,2.151573378500148e-06,3.1168504619586163e-07,0.00011102168297238091,0.00030514797802493174,0.07655967210120587,0.043629593144255116,2.4413269084600408e-05,2.817858595887194e-07,0.000855681457638357,3.622522734989481e-07,0.0,4.9499078421808755e-05,9.299792425716935e-05,6.082471192192724e-07,1.7910380872446855e-05,1.7391566123693954e-05,1.75275643074768e-05,9.050233806207635e-06,4.31547540381263e-06,1.3406489646437928e-05,1.5384314616721988e-05,2.4043294496907993e-05,2.663619302409029e-06
22,0.004811141400807361,0.0018446794142855574,0.0068590921784423,0.0041826780820853,0.0,0.0348717556820428,0.011632274349376007,0.001404354249013733,0.0032615445303940493,0.0017566881271653847,0.024409118690449243,0.014950126624364742,0.008232203466416729,0.010251038626932855,0.005466694400657692,0.0206427706430251,0.018220636394074112,0.0042000513142872445,0.002703785581811143,0.006794556217971293,0.0016305706888144198,0.011001949474287794,0.0011103259728894044,0.008572108474105496,0.00200512481269431,0.003648127078714626,0.0031905452954179747,0.0023376001627951,0.0025262181933064258,0.006739349720974467,0.005250820681133514,0.005213061247620515,0.005346873556191863,0.004018424747724829
23,0.0,3.3734755421938316e-06,0.0326601676103737,5.050111598683528e-06,0.0,0.0100915037490009,2.836677129604395e-05,0.05717228496797856,0.0001324850642696114,1.0625440404561477e-05,7.451021325157358e-05,0.0001390336315698513,1.4822299965015466e-05,5.3337819406123534e-05,2.37387992274859e-05,2.8539352960023363e-05,7.1937399961604036e-06,1.6804756219583524e-06,1.5794605423694184e-05,2.6016682074558163e-05,5.586985773724645e-05,9.389783651289479e-05,6.624787355683691e-05,7.72960832809734e-05,0.00047848106103835666,5.448515422717493e-05,0.0003574651843975982,9.819744149820691e-06,0.0003525778570806425,0.002800099633603482,0.002088151022573711,0.001186514686199631,0.00011248669359772951,0.0001138004970634104
311,0.0,0.07168577846206023,1.260983067948098e-07,0.1223366260353716,0.0,6.805955978787112e-05,1.6079507698536647e-08,1.1037867042587245e-06,0.05805531803129603,0.009798020158425545,6.848026470018302e-05,0.0089782342005084,1.6496803661806498e-07,0.003275799638907,0.001543128911201891,0.0013663069981532,1.1451848954844745e-07,6.195618940787949e-08,0.0,1.80647004726563e-06,0.000273779003570684,3.6336197991050523e-07,0.0019160407821038911,0.0031602652477943,4.402476833202072e-06,0.0010422204836173213,0.0010226093786977718,0.0021567894994127,0.007443194699082949,0.0016660474354213,0.010509969898963108,0.008288743195181726,0.045127376914971346,0.004319934211778019
312,0.0,4.253367845721487e-05,2.017572908716957e-07,0.0013519807459884,0.0,2.582110958370912e-07,7.312156125909541e-06,2.862700913972065e-05,0.000177424993989,0.0015885970500983805,0.0005474503195902,0.0010648370559008,0.0001838183842689,0.0002674973108744,0.0016910813914638,0.0024371642475405,0.0002022447584624,0.0001355295523969,9.23437773471435e-05,0.0002986589791108,4.46515667198273e-05,3.497747044639933e-07,0.0003397220763848,0.0064309156849223,0.0002498775872822,0.0022805863385487,0.0008715252544382,0.0044914816693051,0.0013862194338366,0.0007163521473574,0.0014358751548134,0.0089574775361424,0.0266841695039753,0.0008119713916171
313-314,0.0001145746973817915,8.756720924258167e-07,0.000838982813377491,4.900803951418102e-05,0.0,0.0,3.325524341164769e-08,2.0524653698397107e-06,8.659249968686127e-05,4.578213636321371e-08,0.06187549019882189,0.026704743868639712,0.00017508162522759786,0.007100798704801864,0.0001084134584100969,0.0003339008410424165,5.682674760936241e-05,0.0006382794690671782,0.003892956201181011,0.003687609152566406,0.00016430296774547025,0.000261598469541584,1.2359001781997794e-05,5.360240452483321e-06,1.0812703119331405e-06,3.060926355539634e-05,7.720957132344987e-06,3.785541807684811e-05,0.0008482532855401447,8.54631994186448e-05,0.0005592069497503945,0.0005961074601237661,0.000898145819067909,0.0008467840031287925
315-316,0.0,4.384995536098925e-06,3.7732439934691585e-05,0.0001378460896371,0.0,0.0003116677713536,4.8409661877390633e-05,0.0010521061552494792,6.416886737333529e-05,7.442097747026204e-06,0.0008843630825655695,0.0699737383083081,2.7650867390451963e-05,0.00014936340516314393,0.00018366771829286333,0.000595519649467,0.00010869190417793461,0.00016597963161732457,0.0015465057278354615,0.0013728852478543587,9.865201107432798e-05,4.902140481912169e-05,3.7408070846181865e-05,0.00019929400285624156,2.5279034125762772e-05,4.980370852059872e-06,3.78957798332141e-05,0.0002935340211193,0.0002051492195657141,0.00044592853640676233,0.0007513963210245602,0.0013962093502617738,0.00018213880297133253,0.00018318419671441616
321,0.00039955866813537244,1.744605965953597e-06,0.0001605735838725,0.0012428544214429,0.0,0.0245435787830029,0.00011811607806371423,0.0027190420880026907,6.959665293586609e-05,0.00014040145547208606,0.0010231538105262212,0.0008110243132011137,0.0682795124264625,0.00029798908481256357,0.00018767775495724163,0.0009235807495087,0.0014267804314102258,0.00046300718200136735,0.02333793197835215,0.004219533526319683,0.00016703412595169814,0.00017931121588527052,0.00032469412753971386,0.0004100182143708879,4.118787008362784e-06,0.00011091039612798855,0.00013056111957916424,8.324539425434547e-05,7.817341315995498e-05,4.969774705875229e-05,0.0012331300504497783,0.000160034975617319,0.0008120759386751974,7.877208036835728e-05
322-323,0.0005113635639622961,0.0001532617691391268,0.0034198869589206,0.0012404830646922,0.0,9.641044024295715e-05,5.0477612945495695e-05,9.20935728626563e-05,0.0010519441666382871,0.0006706849420906352,0.004277809478377828,0.006222058839743806,0.0014260905185504212,0.07253685730914414,0.001119789634481259,0.0092905369712098,0.0032306839437725374,0.0037167282252154456,0.00557029605804632,0.0214961298531191,0.0014142954626456881,0.0014135467297523127,0.00015671566475468517,0.0009572180047731298,0.004615167157618057,0.0002075902327303784,0.005449810191448075,0.004447608906816,0.002681611978767124,0.0036023281267793246,0.0028228878353362503,0.006171101853271772,0.0032843759017460385,0.0007086136274501113
324-326,0.024955681636362324,0.0033515910257172063,0.0387736405007383,0.1016185212447655,0.0,0.0799264113729956,0.061123075070664154,0.01656413655775008,0.010360495111671694,0.016978999175995654,0.062995339677182,0.019370789790006983,0.03766848798599569,0.048942578491659755,0.05777978269880125,0.056951850037032,0.0198003569849133,0.018840565112012677,0.03299910763591288,0.0363598942264649,0.0019070326756657778,0.0033702680576067207,0.059060333610508435,0.0119663377820106,0.001522838144619642,0.003495187074677276,0.0076199696347339935,0.0099045582681046,0.0168656630830273,0.004670013796897649,0.049403765558631754,0.008509867703590402,0.011626381728156136,0.015550615195827391
327,3.829742876167455e-05,2.788013405434393e-05,0.000454933525476422,0.0076042384752281,0.0,0.0022313873257576887,3.834317984560747e-05,0.013450048227599883,0.0007341937591747536,0.003288968156067377,8.061171407369902e-05,9.546353037869466e-05,0.0007951783234218534,0.00014705676048500373,0.00036734814125529737,0.05656887547496771,0.000587595248274283,0.0004609921329840665,0.0010316616738735526,0.0020230763655335335,0.0001058833289631178,2.5249823317268855e-05,0.0012545812407696796,0.002574687045081448,1.1416681903985059e-05,0.0005983420611300142,0.0006816328164789287,0.0003529769549476,0.00025083884517948654,0.00011896612809804278,0.00017132374864171278,0.0003752317437518558,0.000580789446159934,0.00013123772481516934
331-332,3.2612590653068706e-08,0.00020730533170640415,0.005199887397380324,0.0080941871283282,0.0,0.0035524665118571,0.010719322974972287,0.020117536721386425,0.00043099030620872224,0.002926248503269055,0.00041713609186049217,0.00048668382548147795,0.004466546131114933,0.0008751280389008032,0.0007714243206698269,0.005880450444071623,0.058285382319635905,0.012452719682522055,0.012342921488248507,0.015720767179629835,5.534315297078586e-05,9.631037890038042e-05,0.0029198541084207055,0.003543394549133578,1.4513919888875794e-05,0.0005241270748420229,0.0004750112675984174,0.0011441945279234,0.0013259086693247616,0.0016279229023579524,0.0011867013682234622,0.001520059049284044,0.0005482848089152744,0.00587261152014432
333-336,0.0011614563168143807,0.00014448572881652213,0.0021539356176848,0.0001306441913572,0.0,0.0062714729677608,0.001517318606812117,0.005248901084693666,0.0001508718546768247,4.901630016412392e-05,0.0049774200175703,0.00296693308225121,0.0021320193917183754,0.0024920523505289793,0.001111657259134623,0.0031815038156026,0.010288624934066307,0.041927972971505065,0.005508739743623417,0.0151576422088794,0.002110878775602958,0.0020425031463264863,0.00896964957507192,0.017502257817987,0.002037987866329144,0.0013205213772142003,0.006576718386385254,0.0012131856059202,0.0025704033045167974,0.0006573495758949291,0.0005307099337342031,0.0009085506199879827,0.0024161316784546546,0.006899802821540914
337,0.0,0.0,0.0,0.0,0.0,0.0,3.6595161315752705e-06,0.0009212988651858677,6.093858065930331e-07,1.2140498768326739e-07,0.0,0.0,4.6963779086947995e-06,5.1841274904692395e-08,0.0,0.0,7.213935424421307e-07,9.16998731313772e-06,0.007535549429927592,9.008927610107523e-06,9.190185821073329e-07,2.59319163923214e-05,0.0,9.827741215603824e-07,0.0009433437255395145,6.3712754659428295e-06,3.398051061147752e-05,0.0002874792146407,4.357225782355318e-05,0.00036113218911710344,0.0001586297249563742,0.00021819561039222265,0.00022385380141663253,9.833052533859425e-06
