,111,112,113-115,114,21-1,21-2,22,23,311,312,313-314,315-316,321,322-323,324-326,327,331-332,333-336,337,339,43,46,48-49,51,52,53,54,55,56,61,62,71,72,81
111,0.017458066557465773,0.12753844458492639,0.005556446229929217,0.0005218741412065656,0.0,0.0,2.9479097447317186e-08,0.00027768721298712597,0.07438069319220891,0.05775573834654622,0.07019667151073672,0.002424813340024595,0.004722495992788915,1.3531935050426511e-05,0.0007666954928216419,5.628047299958582e-06,9.482422701463801e-09,1.5293478185680659e-09,7.300480460680173e-09,0.0005600262094502883,2.2011802156345437e-07,0.0,0.0,2.3295386585134987e-07,0.0,1.6543640504441906e-08,0.0001418314259153212,0.0,0.0,2.6897072187848006e-06,0.0010335285794076546,0.0,0.03425081238687194,0.0004031346507825445
112,0.00741988506083026,0.026017839181131253,0.0,0.0,0.0,0.0,0.0,7.087787777098998e-08,0.14574776484049318,7.444900599290432e-06,0.003555603117824897,8.867862506517843e-06,0.0,0.0,0.00010896061027336399,0.0,0.0,0.0,0.0,0.0005169227215477849,2.678382644062185e-07,0.0,0.0,1.0191731630996559e-07,0.0,9.099002277443048e-09,0.000882058879685063,0.0,0.0,0.0,0.0003912925115125735,0.0,0.0013707391066001347,3.112001333042714e-06
113-115,0.0059486970019331205,0.001647987473534491,0.0338235505888627,0.0008527223219411891,0.0,1.1724179486657112e-06,4.0868748733780646e-07,4.126223870236036e-08,0.0021190586600299127,0.0,0.0033510966112895737,0.001292545665875779,0.1702111497386823,0.0031559288213755905,0.00151908096177999,0.00016631283939944928,1.161305014076963e-05,8.576860629769454e-07,0.004559945800064982,0.002106613435313262,3.634803849206599e-06,0.0,0.0,2.3149790418977894e-07,0.0,2.5601283680623846e-07,4.391160677734416e-06,0.0,0.0,9.812868364774902e-09,1.1730939078073053e-09,0.0,7.529039632241866e-09,8.373971046360244e-08
114,0.0,4.9686543743648046e-08,0.0,0.0007088600123995609,0.0,0.0,0.0,1.9965599372109853e-09,0.0020398508409103563,0.0,0.0,0.0,0.0,2.2296601953985038e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.79575155188303e-06,0.0,0.0,0.0,0.0,2.35741027956238e-06,0.0013151801719996413,0.0
21-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14845397555364642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21-2,6.987196564081726e-05,0.00042584304011345777,0.00012312238675445228,0.0005748783559857919,0.004098913861401318,0.013130166818203138,0.014681710734466957,0.015163465092130252,0.00030091965143640186,0.001752276906751519,5.0391251905072625e-06,7.606853199861186e-06,1.2757528165130359e-06,0.00046917078888879813,0.001845540306181261,0.14823790322783345,0.13801690896279586,0.00013018336951806884,1.9273268416195657e-06,0.0020360000729146353,2.9831872937691365e-06,0.0,0.00024058700645133207,0.0002758537762095375,2.852473887145165e-06,0.00010044471332271904,9.007765447553765e-05,1.75275643074768e-05,4.973293966565164e-05,1.8245066150625975e-05,6.358168980315593e-05,0.00010639070799588989,0.00011498564441777841,1.8673955433383345e-05
22,0.015499353458417974,0.010943504170644444,0.0068590921784423215,0.004182678082085304,0.0036872123901438734,0.034871755682042885,0.02052921264325527,0.0028875198177915444,0.010463343833017712,0.010043536357020549,0.028588548508439435,0.022359274977506748,0.014253799255125316,0.018325464895792995,0.013986266766255704,0.02064277064302515,0.02438252330675923,0.009474321970811717,0.007822983147731513,0.006838970610008864,0.005680322649036335,0.02321696232960956,0.0022829138717218333,0.010756161376414438,0.003977837162870892,0.008654783195984101,0.006990484293531839,0.0023376001627951554,0.005872447773713997,0.012053100091971697,0.010534359830231444,0.015250439034146888,0.010817166994672327,0.011917467527940883
23,0.0,1.7177993259735777e-05,0.03266016761037379,5.050111598683528e-06,0.00010430549136421852,0.010091503749000919,4.297114436536432e-05,0.10090047398782136,0.00036481565018547474,5.214327267985516e-05,7.49057520842509e-05,0.00017848103195364204,2.202873182306561e-05,8.184303824809383e-05,5.2130886933094694e-05,2.8539352960023363e-05,8.262837258629379e-06,3.253756999813495e-06,3.922548151523457e-05,2.6016682074558163e-05,0.00016705916056716802,0.00017007899936973014,0.00011691502487507806,8.325043184696459e-05,0.0008147599965904153,0.0001109490978610144,0.0006722571888392138,9.819744149820693e-06,0.0007034977197528206,0.004298467128692621,0.003595855428254038,0.0029793532086258828,0.00019533232864179262,0.00028968876489076083
311,0.0,0.23395319713226348,1.260983067948098e-07,0.12233662603537168,0.0,6.805955978787112e-05,1.6079507698536647e-08,1.2485154807359361e-06,0.10245889437779795,0.030817030688992213,6.848026470018302e-05,0.008978234200508417,1.6496803661806498e-07,0.003275799638907029,0.0021718993289866653,0.0013663069981532303,1.1451848954844745e-07,7.688448578801278e-08,0.0,1.80647004726563e-06,0.0005246793652435172,4.218282935835759e-07,0.0021672262327171463,0.0031602652477943664,4.8046653182146124e-06,0.0013602110912279992,0.0012325728390792311,0.0021567894994127634,0.009518492153795292,0.001666047435421376,0.011599597137967129,0.01333947310226713,0.05022433359773779,0.007047997522177022
312,0.0,7.789043275595154e-05,2.0175729087169568e-07,0.0013519807459884327,0.0,2.5821109583709115e-07,7.312156125909541e-06,2.8627009139720646e-05,0.00017742499398901634,0.002803634583091483,0.0005474503195902406,0.0010648370559008021,0.00018381838426895586,0.0002674973108744845,0.0016910813914638209,0.002437164247540547,0.00020224475846247436,0.00013552955239692316,9.23437773471435e-05,0.0002986589791108997,4.801597392517001e-05,3.4977470446399327e-07,0.00033972207638486326,0.0064309156849223946,0.0002498775872822948,0.0022805863385487036,0.0008715252544382907,0.004491481669305182,0.0013862194338366857,0.0007163521473574421,0.0014358751548134963,0.00895747753614248,0.026684169503975393,0.0008119713916171223
313-314,0.0005561882757683644,7.827889118885643e-06,0.0012244649983003213,4.900803951418102e-05,0.0,0.0,8.843729234195157e-08,6.3590434000169876e-06,0.0004185960355592704,3.944170625783916e-07,0.10920092301342676,0.06018231820909678,0.0004567964933954219,0.01912766610850687,0.0004179533969760995,0.0004121054275627661,0.00011458705475875033,0.002169562012060831,0.016972558501414603,0.005592965946435159,0.0008624748335411315,0.0008318376999033135,3.829041494023595e-05,1.0134949126195291e-05,3.232269158088848e-06,0.00010942253343346705,2.549066354496802e-05,3.785541807684811e-05,0.0029712658048554473,0.0002303178333896317,0.0016905233417568593,0.002627735968752672,0.002737966454000374,0.0037841507774071447
315-316,0.0,3.06972501165302e-05,4.3125620923824955e-05,0.0001378460896371095,0.0001700420635568918,0.0003116677713536349,0.00010081717331084992,0.002552717014680624,0.00024292173195551156,5.0209069231730625e-05,0.0012222651311367232,0.1234931114955871,5.649605360713333e-05,0.0003150838531106969,0.0005545039604011294,0.0005955196494670267,0.0001716354979821492,0.00044181774031796443,0.0052801527984720036,0.0016306422478839604,0.0004055404020577855,0.00012207207140734258,9.076097459316354e-05,0.0002950928536055359,5.9178080796944664e-05,1.3942566626131028e-05,9.797787341061694e-05,0.00029353402111938974,0.0005627467356312551,0.0009411109908184288,0.0017788725632355508,0.004819864973572369,0.0004348213991495934,0.0006410781169121802
321,0.001312016003585506,1.0549356628480912e-05,0.0001605735838725108,0.001242854421442967,1.2026952276948329e-05,0.024543578783002912,0.00021247595468743813,0.005698457918831477,0.00022757714914499675,0.0008181947986965171,0.001221445369144009,0.0012363454481588135,0.1205030579300107,0.0005429759600072771,0.0004894213661555744,0.0009235807495087328,0.001946100952369604,0.0010645703965447989,0.0688264914228188,0.0043289961285502354,0.0005931051526093181,0.00038568817201953823,0.0006804662291032065,0.0005244039033796353,8.328523935761183e-06,0.0002681955736737095,0.00029157435909651274,8.324539425434547e-05,0.00018522537951391055,9.05963258909478e-05,0.002521639259747995,0.00047719682064231565,0.001674570274227984,0.00023811873529107117
322-323,0.0016263565645224694,0.0008976145144801348,0.0034198869589206773,0.001240483064692281,0.00010099974534913468,9.641044024295715e-05,8.794820731612109e-05,0.0001869382396810541,0.0033316578901522232,0.00378556817138269,0.004946317283140946,0.009186868190294762,0.0024377106813669304,0.12801663057859033,0.002828355395116683,0.009290536971209814,0.004268055963939997,0.00827703657798264,0.015911054041470786,0.021496129853119113,0.0048640053884138916,0.0029448721602818775,0.00031810607483260693,0.0011857715762249102,0.009038857728209651,0.0004861985692389675,0.011788111961154493,0.004447608906816069,0.0061541030919008664,0.006360401981561965,0.005591072316155228,0.01782266972200446,0.006559745692101596,0.002074713644659816
