,111,112,113-115,114,21-1,21-2,22,23,311,312,313-314,315-316,321,322-323,324-326,327,331-332,333-336,337,339,43,46,48-49,51,52,53,54,55,56,61,62,71,72,81
111,11843.517,56470.939,220.322,11.884,0.0,0.0,0.022,834.4970000000001,177083.699,25918.67,11645.755,653.7909999999999,429.401,5.027,2025.23,2.228,0.013,0.011,0.001,191.277,0.655,0.0,0.0,0.16,0.0,0.04,87.951,0.0,0.0,2.741,881.028,0.0,31844.126,207.008
112,5033.635,11520.07,0.0,0.0,0.0,0.0,0.0,0.213,346992.643,3.341,589.881,2.391,0.0,0.0,287.82,0.0,0.0,0.0,0.0,176.555,0.797,0.0,0.0,0.07,0.0,0.022,546.973,0.0,0.0,0.0,333.556,0.0,1274.422,1.598
113-115,4035.584,729.689,1341.158,19.418,0.0,0.672,0.305,0.124,5045.002,0.0,555.953,348.503,15476.739,1172.401,4012.66,65.839,15.921,6.169,624.609,719.514,10.816,0.0,0.0,0.159,0.0,0.619,2.723,0.0,0.0,0.01,0.001,0.0,0.007,0.043000000000000003
114,0.0,0.022,0.0,16.142,0.0,0.0,0.0,0.006,4856.426,0.0,0.0,0.0,0.0,8.283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.594,0.0,0.0,0.0,0.0,0.422,1222.767,0.0
21-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392141.923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21-2,47.401,188.553,4.882,13.091,3629.293,7525.876,10956.836,45568.775,716.422,786.358,0.8360000000000001,2.051,0.116,174.293,4875.004,58683.595,189215.338,936.3580000000001,0.264,695.396,8.877,0.0,645.676,189.465,3.9130000000000003,242.86,55.858,3.743,51.241,18.593,54.199999999999996,19.045,106.906,9.589
22,10514.73,4845.519,271.97400000000005,95.247,3264.761,19987.599,15320.777,8677.485,24910.868,4507.173,4742.892,6028.626,1296.051,6807.755999999999,36944.794,8171.945,33427.407,68145.08799999999,1071.571,2335.851,16902.802,66376.905,6126.776,7387.668,5456.764,20925.946,4334.865,499.193,6050.519,12282.953,8979.98,2729.981,10057.082,6119.571
23,0.0,7.606,1295.028,0.115,92.355,5784.191999999999,32.069,303222.975,868.544,23.4,12.427000000000001,48.123,2.003,30.404,137.704,11.298,11.328,23.403,5.373,8.886,497.114,486.253,313.77099999999996,57.178999999999995,1117.681,268.258,416.873,2.097,724.83,4380.439,3065.275,533.3340000000001,181.607,148.754
311,0.0,103588.818,0.005,2785.822,0.0,39.01,0.012,3.752,243931.58,13829.56,11.360999999999999,2420.759,0.015,1216.932,5737.0830000000005,540.886,0.157,0.553,0.0,0.617,1561.276,1.206,5816.299,2170.569,6.590999999999999,3288.7830000000004,764.33,460.581,9807.123000000001,1697.819,9888.037999999999,2387.8990000000003,46695.243,3619.1180000000004
312,0.0,34.488,0.008,30.787,0.0,0.148,5.457,86.02900000000001,422.409,1258.169,90.82300000000001,287.10699999999997,16.714,99.373,4467.0,964.811,277.269,974.8109999999999,12.649,102.007,142.88,1.0,911.73,4416.954,342.78,5514.11,540.441,959.153,1428.254,730.013,1224.007,1603.478,24809.165,416.9440000000001
