grupo,nombre,produccion_millones_pesos,suma_columna_A
111,Agricultura,678397.975,0.1559939370396853
112,Cría y explotación de animales,442775.8169999999,0.5239176126911195
113-115,Aprovechamiento forestal y servicios agropecuarios,39651.602999999996,0.2059302873581177
114,"Pesca, caza y captura",22771.774,0.4619546549162134
21-1,Minería petrolera,885427.9750000001,0.19433999360591694
21-2,Minería no petrolera y servicios mineros,573174.4390000001,0.30811580381727377
22,"Energía eléctrica, agua y gas",746291.5049999999,0.2034645202078242
23,Construcción,3005168.985,0.40231724872536573
311,Industria alimentaria,2380775.056,0.4957762515300816
312,Industria de las bebidas y del tabaco,448763.547,0.3271784394733826
313-314,Insumos y productos textiles,165901.812,0.3876489305614094
315-316,"Prendas de vestir, cuero y piel",269625.29,0.3518854555520367
321,Industria de la madera,90926.70500000005,0.4687537726127871
322-323,Industria del papel e impresión,371491.585,0.4011841425694743
324-326,"Petróleo, carbón, química, plástico y hule",2641505.0289999996,0.40980475188033433
327,Minerales no metálicos,395874.4269999999,0.48082772469664997
331-332,Industrias metálicas y productos metálicos,1370957.656,0.43536532320149207
333-336,"Maquinaria, electrónica, eléctrico y transporte",7192608.422,0.2694135522619169
337,"Muebles, colchones y persianas",136977.28600000002,0.3867984871593966
339,Otras industrias manufactureras,341550.086,0.22667637097301158
43,Comercio al por mayor,2975676.391,0.16618836527241176
46,Comercio al por menor,2858983.189,0.1535329136207803
48-49,"Transportes, correos y almacenamiento",2683752.5829999996,0.251209673078869
51,Información en medios masivos,686831.272,0.3237184605071389
52,Servicios financieros y de seguros,1371791.699,0.31390606337238086
53,Servicios inmobiliarios y de alquiler,2417847.51,0.07680133185901372
54,"Servicios profesionales, científicos y técnicos",620109.397,0.17390379104350195
55,Corporativos,213549.352,0.3674548588655984
56,Servicios de apoyo a los negocios y manejo de residuos,1030323.169,0.1626582290318272
61,Servicios educativos,1019070.024,0.10284689720203173
62,Servicios de salud y asistencia social,852446.674,0.2771945040165644
71,Servicios de esparcimiento culturales y deportivos,179009.994,0.25434872647389734
72,Alojamiento temporal y preparación de alimentos,929733.451,0.2958564561747709
81,Otros servicios excepto actividades gubernamentales,513495.924,0.20169834493175057
