,111,112,113-115,114,21-1,21-2,22,23,311,312,313-314,315-316,321,322-323,324-326,327,331-332,333-336,337,339,43,46,48-49,51,52,53,54,55,56,61,62,71,72,81
111,0.0098920997767942,0.0392431096870105,0.0055564462299292,0.0005218741412065,0.0,0.0,2.947909744731718e-08,0.0002465275077643,0.0423224540007537,0.0184400016183647,0.0701966715107367,0.0024248133400245,0.0047224959927889,1.353193505042651e-05,0.0005470206281601,5.628047299958582e-06,9.4824227014638e-09,1.2375721554613255e-09,4.6058426881267e-09,0.0005600262094502,1.1534002244188237e-07,0.0,0.0,2.329538658513499e-07,0.0,1.2729245243321856e-08,0.00011816474552499999,0.0,0.0,2.689707218784801e-06,0.0009403712289398,0.0,0.030904026036828,0.0002481302973205
112,0.0074198850608302,5.105555220552117e-06,0.0,0.0,0.0,0.0,0.0,5.916735995152324e-11,9.355621972922034e-05,8.900731378570763e-09,2.055796612370197e-06,7.698471415616527e-09,0.0,0.0,9.33181406109338e-08,0.0,0.0,0.0,0.0,3.616429057091638e-07,7.291413035912973e-10,0.0,0.0,9.580268934519414e-11,0.0,3.566207742619717e-11,1.2497751574188174e-06,0.0,0.0,0.0,2.254628166013029e-07,0.0,7.197902872916185e-07,4.044314113798233e-09
113-115,0.0010133848136841,8.906614961316966e-06,0.003081762431244588,2.1912750066442844e-05,0.0,8.618443390001033e-07,3.047707103378716e-08,1.5509251579678477e-09,3.925377468229187e-05,0.0,0.00015315411783608195,6.945979050342277e-05,0.007256643033751497,0.00010252667626354324,4.707770990414852e-05,1.0579465538961959e-05,5.63102123322959e-07,2.79537674746515e-08,0.00014391752233623817,0.00013555776663819936,2.725254568480266e-07,0.0,0.0,1.6055432249492965e-08,0.0,3.915644363355719e-08,2.6289732005424476e-07,0.0,0.0,7.989294263467256e-10,3.1191774172888484e-11,0.0,1.809222625840877e-10,3.3972170164033533e-09
114,0.0,8.923144205877316e-12,0.0,1.1941123908348494e-06,0.0,0.0,0.0,2.4936802077621858e-12,1.255617067337201e-06,0.0,0.0,0.0,0.0,2.4069591072956342e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.153020271193515e-08,0.0,0.0,0.0,0.0,3.2236706064487585e-09,1.0501661898707672e-06,0.0
21-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21-2,9.174902815063574e-06,3.0365331033851557e-05,5.377437081768136e-05,0.0005748783559857,0.0,0.0074398227217248,0.003519111111968,0.0031197093010047,3.967960485197364e-05,0.0001296506565465,1.8200323778469857e-06,2.151573378500148e-06,3.116850461958617e-07,0.0001110216829723,0.0003051479780249,0.0765596721012058,0.0436295931442551,2.4413269084600408e-05,2.817858595887194e-07,0.0008556814576383,3.622522734989481e-07,0.0,4.949907842180876e-05,9.299792425716937e-05,6.082471192192724e-07,1.7910380872446855e-05,1.7391566123693954e-05,1.75275643074768e-05,9.050233806207637e-06,4.31547540381263e-06,1.3406489646437928e-05,1.5384314616721988e-05,2.4043294496907997e-05,2.663619302409029e-06
22,0.0048111414008073,0.0008464958055988104,0.00866327085611483,0.0008442505059788181,0.0,0.0348717556820428,0.021911081302735325,0.001553361934368413,0.0027740773993333804,0.004733148131789646,0.018700080093336905,0.017197088311857275,0.008697371558258359,0.008520681092373297,0.0062036294092258585,0.015393548347309953,0.016921121463984713,0.00441946568211886,0.0035337516056982298,0.006298540466533251,0.006095491542666359,0.03209195380791419,0.0009872630063202405,0.010676818971540436,0.004934322476485933,0.018945554584690723,0.005989957288115702,0.000903702380474824,0.003440641224843908,0.014044970736495507,0.004008898664632456,0.008982290811517225,0.0037202797010208845,0.0069196709689539025
23,0.0,3.3994713810259853e-06,0.09058652019003426,2.2384519616854986e-06,0.0,0.0100915037490009,0.00011733808478275702,0.13887096386026912,0.00024745264297359527,6.28683821852825e-05,0.00012535368001932357,0.00035120430552056754,3.4388833171449865e-05,9.735799287334663e-05,5.9157486211448364e-05,4.673527361964615e-05,1.467068028443256e-05,3.88308860442304e-06,4.533174804215614e-05,5.2961545712537574e-05,0.00045864491372141165,0.0006014672880697536,0.00012935529831972802,0.00021141783609766434,0.002585715770966188,0.0006213631065083706,0.0014737454424626141,8.33652936393341e-06,0.0010545167396895374,0.012814635102687367,0.0035009806532482635,0.004489493185127892,0.00017187263859659997,0.00043033203540510594
311,0.0,0.23775888031675588,1.1511299151617616e-06,0.1784732859156056,0.0,6.805955978787112e-05,2.1891310130553293e-07,8.824314460983043e-06,0.35689223753844446,0.19080668708189014,0.00037918978529740224,0.07464501544437904,1.2597128673253847e-06,0.019679932459896216,0.012656775865924138,0.007364086436416498,7.686719697860504e-07,4.711939440207775e-07,0.0,1.2103456801016427e-05,0.007397229147274281,7.660653645778762e-06,0.012313653974980377,0.02844969326649093,7.8303834315546e-05,0.03911981577345332,0.013876131739732796,0.00602646709660357,0.07327026147639273,0.025095164068684703,0.05799615413469444,0.10322450299558837,0.22694237776790147,0.053765856584092234
312,0.0,5.643240433595967e-05,7.3677722453104e-07,0.0007890038037299061,0.0,2.582110958370912e-07,3.9823216117986606e-05,9.155112042848137e-05,0.00043631662587275284,0.012375446686175861,0.0012126285313086274,0.0035414809305367783,0.0005615036369463955,0.0006428617152721808,0.00554852134821251,0.0052546918460058874,0.000543043447187613,0.00041232614595310363,0.00034894992373845154,0.000800471926023847,0.0004826113206175125,2.9498953669315357e-06,0.000873369127151833,0.02315894321899432,0.0017778909641833244,0.03424329791651771,0.004730755343145128,0.005020379299793129,0.005458737549601433,0.004316394330271518,0.0031696132483060033,0.044624330474146365,0.05368105847025549,0.004042611745950315
