sector,nombre,mult_produccion,mult_antes_ras,cambio_pct
22,Energía,2.6645214112754094,1.161946577047497,129.31531138427644
312,Bebidas,2.24997581700141,1.0909569545648032,106.2387344969953
327,Min.no metal.,2.218622200552826,1.4483841204847554,53.17913039603624
311,Alimentos,2.196582710036562,1.3814500070790035,59.005588242828246
23,Construcción,2.1852723364611677,1.2524122601428875,74.48506422412778
322-323,Papel,2.175140195100042,1.3219385734366917,64.5416995016078
331-332,Metálicas,2.138318567919168,1.3343587206923393,60.25065334827578
113-115,Forestal,2.121166261879097,1.2188642968580565,74.02809052221494
324-326,Petroquímica,2.092568652590296,1.1500819399012814,81.9495272458512
315-316,Prendas,2.086609259360837,1.2869717400446414,62.133261705378104
337,Muebles,2.070800020507666,1.1881638636802008,74.28572638908587
313-314,Textiles,2.041893221524181,1.3881434524906269,47.09526006556362
321,Madera,2.001580639080343,1.3077574008661657,53.05443026012608
339,Otras manuf.,1.9628384119243873,1.237430052473188,58.62217084524194
72,Alojamiento,1.9553904363033159,1.2548653058496098,55.82472693986976
51,Información,1.949147726621978,1.3266541607994005,46.92206787694258
333-336,Maquinaria/elect.,1.9262962359613902,1.1743825473517788,64.02629963338346
71,Esparcimiento,1.863861621973134,1.1324926166000897,64.58046566067003
48-49,Transportes,1.8569790961444392,1.18406713122164,56.830558604268866
62,Salud,1.8205774370943013,1.2106620887206045,50.37866090431882
81,Otros serv.,1.8006039009626624,1.099273012675133,63.79951842725651
53,Inmobiliario,1.792929390172689,1.0456366024087356,71.46773420540985
114,Pesca,1.771076883818228,1.5631206936955284,13.303911269388276
112,Ganadería,1.669966781861167,1.1955904284708774,39.677162186469
54,Serv.prof.,1.6584915303288756,1.1123235033269963,49.101545132173584
56,Serv.apoyo,1.6553860269066114,1.1019073250553006,50.22915169599528
52,Financiero,1.6255319264074468,1.209931018136875,34.34914073948937
21-2,Min.no petrol.,1.582533312077658,1.3462589369738083,17.55044060357063
61,Educación,1.4908097802383682,1.0793601632485648,38.11977048990376
43,Com.mayor.,1.4559903324122416,1.0606319633369512,37.27573585765012
46,Com.menor.,1.4558941476207763,1.0928428079083368,33.22081978169461
55,Corporativos,1.221204190254802,1.4009997545983364,-12.833375862730346
111,Agricultura,1.1285626366391919,1.08179402395427,4.323245613242438
21-1,Min.petrol.,1.0,1.0,0.0
