,111,112,113-115,114,21-1,21-2,22,23,311,312,313-314,315-316,321,322-323,324-326,327,331-332,333-336,337,339,43,46,48-49,51,52,53,54,55,56,61,62,71,72,81
111,0.008829720509352027,0.03502852764051271,0.0055564462299292,0.0005218741412065,0.0,0.0,2.721590619105325e-08,0.00022005125711859903,0.037777160413728195,0.016459605559591802,0.0701966715107367,0.0024248133400245,0.004443992620736142,1.2333576924555794e-05,0.0004882723960018096,5.628047299958582e-06,9.4824227014638e-09,1.1046609404925636e-09,4.11119019862744e-09,0.0005600262094502,1.0295288004406367e-07,0.0,0.0,2.329538658513499e-07,0.0,1.1362165801966315e-08,0.00010547423707677801,0.0,0.0,2.4504199086171695e-06,0.0008393784245942604,0.0,0.027585034388660317,0.0002214819123016395
112,0.006910636268594081,0.013158974246688042,0.0,0.0,0.0,0.0,0.0,7.087787777098998e-08,0.13631418060973127,3.907088352325492e-06,0.0035556031178248,8.867862506517843e-06,0.0,0.0,0.0001089606102733,0.0,0.0,0.0,0.0,0.0005169227215477,2.3068829909516927e-07,0.0,0.0,1.0191731630996561e-07,0.0,9.099002277443048e-09,0.000882058879685,0.0,0.0,0.0,0.0003912925115125,0.0,0.0013707391066001,3.112001333042714e-06
113-115,0.0009045505883637836,0.00013608017930271055,0.017106848421646795,0.0008527223219411,0.0,7.692850666336743e-07,1.1343841706157148e-07,9.830621138843719e-09,0.0003235729942238558,0.0,0.0014015978248346753,0.00042335970789486734,0.04815594792495576,0.0008648017138820615,0.0002908575777999748,9.946701377775165e-05,4.251162124390358e-06,1.862564336522411e-07,0.0007720332532413543,0.0010252544941072212,5.11121416447808e-07,0.0,0.0,9.037616015530554e-08,0.0,5.2863021180556665e-08,9.817783527806246e-07,0.0,0.0,2.6877673658327275e-09,2.86436455383992e-10,0.0,1.8230661858872828e-09,1.3831834711549656e-08
114,0.0,1.178411512082762e-09,0.0,0.0003585182682825096,0.0,0.0,0.0,1.3662423607953652e-10,8.946330184764151e-05,0.0,0.0,0.0,0.0,1.7548711935594243e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.721869194860764e-07,0.0,0.0,0.0,0.0,1.1338075619781491e-07,9.146718798245721e-05,0.0
21-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21-2,8.18954816322443e-06,2.7104193472839264e-05,4.799917869816043e-05,0.0005748783559857,0.0,0.006640810015489548,0.0031411700509659224,0.002784662692436417,3.541814464774799e-05,0.00011572659869903777,1.6245668338343579e-06,1.9205014118524343e-06,2.782110883383949e-07,9.90983161556515e-05,0.0002723760799779558,0.06833741290470013,0.038943917074536094,2.1791363573011055e-05,2.515229769004832e-07,0.0007637840586389743,3.2334756028002976e-07,0.0,4.418303876800432e-05,8.301025036838044e-05,5.429233615216475e-07,1.5986864355203604e-05,1.5523768619112842e-05,1.75275643074768e-05,8.078268199494363e-06,3.85200741404137e-06,1.1966676364027762e-05,1.3732089380280729e-05,2.146112304990693e-05,2.3775552728208214e-06
22,0.004294440498847063,0.0016465668589096133,0.006321198770575755,0.0041826780820853,0.0,0.0348717556820428,0.010383006005867411,0.0012535311809128028,0.0029112652805770548,0.0015680255491715255,0.0217876589176613,0.013344531762834864,0.0073480916513899595,0.0091501104971387,0.004879589243638791,0.0206427706430251,0.016263799445251765,0.0037489794954445096,0.0024134078247586,0.006064843030648097,0.0014554527125522686,0.009820375967482904,0.0009910805831019355,0.007651491969354968,0.0017897809445867822,0.0032563301234804025,0.002847891131977463,0.0023376001627951,0.002254910594903497,0.006015565531453651,0.004686899657835759,0.004653195464385005,0.0047726367672485176,0.003586859030022044
23,0.0,3.011175266608488e-06,0.0326601676103737,5.050111598683528e-06,0.0,0.0100915037490009,2.5320272535498728e-05,0.05103216794603269,0.00011825660027292051,9.48430274441268e-06,6.650805925421202e-05,0.00012410187279366923,1.3230433269980396e-05,4.760951148503131e-05,2.1189329579755722e-05,2.8539352960023363e-05,6.421155772412541e-06,1.4999980185683407e-06,1.4098316292146252e-05,2.6016682074558163e-05,4.986961715392365e-05,8.381351498158586e-05,5.9133067907178535e-05,6.89947359244864e-05,0.00042709375494755003,4.863362628665275e-05,0.00031907458894208973,9.819744149820691e-06,0.00031471214464611993,0.002499378061375563,0.001863890410193435,0.001059086876980469,0.00010040598941582267,0.0001015786946723339
311,0.0,0.06398695955333786,1.260983067948098e-07,0.1223366260353716,0.0,6.805955978787112e-05,1.4783017388002046e-08,9.8524361060395e-07,0.051820366137068016,0.008745744735293291,6.848026470018302e-05,0.0089782342005084,1.5459066303277793e-07,0.0029732278770642504,0.001377401896792123,0.0013663069981532,1.1451848954844745e-07,5.530229664478125e-08,0.0,1.80647004726563e-06,0.0002443760311161589,3.2433808784066665e-07,0.0017102642484647713,0.0031602652477943,3.929665173542038e-06,0.0009302894013514372,0.0009127844651673708,0.0021567894994127,0.006643819853472114,0.0015114876022517918,0.009381233394677755,0.007398559197607057,0.040280843751104,0.0038559873605671434
312,0.0,3.7965700052164404e-05,2.017572908716957e-07,0.0013519807459884,0.0,2.582110958370912e-07,7.312156125909541e-06,2.862700913972065e-05,0.00015992281170576348,0.0014179869057988261,0.0005474503195902,0.0010648370559008,0.0001838183842689,0.0002674973108744,0.0016910813914638,0.0024371642475405,0.0002022447584624,0.0001355295523969,9.22890744632954e-05,0.0002986589791108,3.9856134019760824e-05,3.497747044639933e-07,0.0003397220763848,0.0064309156849223,0.0002498775872822,0.0022805863385487,0.0008715252544382,0.0044914816693051,0.0013862194338366,0.0007163521473574,0.0014358751548134,0.008853989664157283,0.0266841695039753,0.0007916904249642397
