,nombre,mult_prod,il,mult_emp,rank_prod,rank_emp,diff_rank,clasif
111,Agricultura,1.1285626366391919,1.641996903,1.8941811276895444,33,23,10,moderado
112,Ganadería,1.6699667818611648,0.460709854,1.343328637022206,24,30,6,moderado
113-115,Forestal/Agrop.,2.121166261879093,0.440463646,2.75771553597426,8,18,10,moderado
114,Pesca,1.7710768838182251,6.098039216,7.404269458589071,23,1,22,atípico
21-1,Min. petrolera,1.0,0.436570934,0.436570934,34,33,1,consistente
21-2,Min. no petrolera,1.5825333120776568,0.0,1.0871085857224605,28,32,4,consistente
22,Energía/agua,2.664521411275405,0.582368406,4.513256993168344,1,10,9,moderado
23,Construcción,2.185272336461163,1.709967995,3.745284059338715,5,13,8,moderado
311,Alimentos,2.196582710036557,1.097537374,2.7565181336603395,4,19,15,atípico
312,Bebidas/tabaco,2.2499758170014057,0.636477901,2.9575226595555764,2,16,14,atípico
313-314,Textiles,2.0418932215241776,2.692121212,4.909029261724017,12,7,5,consistente
315-316,Prendas/cuero,2.086609259360832,5.107005617,7.28582228196651,10,2,8,moderado
321,Madera,2.0015806390803386,2.807774228,4.804169120595092,13,8,5,consistente
322-323,Papel/impresión,2.1751401951000373,4.516777042,6.940706718964326,6,3,3,consistente
324-326,Petroquímica,2.0925686525902916,3.445746082,5.833171647604726,9,4,5,consistente
327,Min. no metálicos,2.218622200552821,1.598287894,3.8350223487393316,3,12,9,moderado
331-332,Metálicas,2.1383185679191645,2.704138988,4.663980900741365,7,9,2,consistente
333-336,Maquinaria/elect.,1.9262962359613864,3.495404049,5.39602570788906,17,5,12,atípico
337,Muebles,2.0708000205076624,0.772326914,2.971611872035152,11,15,4,consistente
339,Otras manuf.,1.9628384119243831,2.988029072,5.035393622988821,14,6,8,moderado
43,Com. mayorista,1.4559903324122385,0.969199675,1.7453171646559362,30,26,4,consistente
46,Com. minorista,1.455894147620773,0.969199675,1.788088295992798,31,25,6,moderado
48-49,Transportes,1.856979096144436,0.870434476,2.8410057578978476,19,17,2,consistente
51,Información,1.9491477266219739,0.594588882,2.207946591559476,16,21,5,consistente
52,Financiero,1.6255319264074444,0.452580974,1.382596753903591,27,29,2,consistente
53,Inmobiliario,1.7929293901726848,0.090185435,1.4419257517879354,22,28,6,moderado
54,Serv. profesionales,1.6584915303288725,0.090185434,1.2965162666645391,25,31,6,moderado
55,Corporativos,1.2212041902547994,0.090185434,0.4060418128239921,32,34,2,consistente
56,Serv. apoyo,1.655386026906608,0.870143748,2.098100729825739,26,22,4,consistente
61,Educación,1.4908097802383653,0.951697828,1.820038151090895,29,24,5,consistente
62,Salud,1.820577437094297,1.061654421,2.697995533459388,20,20,0,consistente
71,Esparcimiento,1.8638616219731294,1.815110004,3.219127834683295,18,14,4,consistente
72,Alojamiento/alim.,1.9553904363033114,2.721196689,4.094357528304986,15,11,4,consistente
81,Otros serv.,1.8006039009626593,0.142595263,1.6972878261188544,21,27,6,moderado
