Descriptores,111---Agricultura,112---Cría y explotación de animales,113---Aprovechamiento forestal,"114---Pesca, caza y captura",115---Servicios relacionados con las actividades agropecuarias y forestales,211---Extracción de petróleo y gas,"212---Minería de minerales metálicos y no metálicos, excepto petróleo y gas",213---Servicios relacionados con la minería,"221---Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",236---Edificación,237---Construcción de obras de ingeniería civil,238---Trabajos especializados para la construcción,311---Industria alimentaria,312---Industria de las bebidas y del tabaco,313---Fabricación de insumos textiles y acabado de textiles,"314---Fabricación de productos textiles, excepto prendas de vestir",315---Fabricación de prendas de vestir,"316---Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos",321---Industria de la madera,322---Industria del papel,323---Impresión e industrias conexas,324---Fabricación de productos derivados del petróleo y del carbón,325---Industria química,326---Industria del plástico y del hule,327---Fabricación de productos a base de minerales no metálicos,331---Industrias metálicas básicas,332---Fabricación de productos metálicos,333---Fabricación de maquinaria y equipo,"334---Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos","335---Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica",336---Fabricación de equipo de transporte,"337---Fabricación de muebles, colchones y persianas",339---Otras industrias manufactureras,"431---Comercio al por mayor de abarrotes, alimentos, bebidas, hielo y tabaco","461---Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco",481---Transporte aéreo,482---Transporte por ferrocarril,483---Transporte por agua,484---Autotransporte de carga,"485---Transporte terrestre de pasajeros, excepto por ferrocarril",486---Transporte por ductos,487---Transporte turístico,488---Servicios relacionados con el transporte,491---Servicios postales,492---Servicios de mensajería y paquetería,493---Servicios de almacenamiento,"511---Edición de periódicos, revistas, libros, software y otros materiales, y edición de estas publicaciones integrada con la impresión","512---Industria fílmica y del video, e industria del sonido",515---Radio y televisión,517---Telecomunicaciones,"518---Procesamiento electrónico de información, hospedaje y otros servicios relacionados",519---Otros servicios de información,521---Banca central,522---Instituciones de intermediación crediticia y financiera no bursátil,"523---Actividades bursátiles, cambiarias y de inversión financiera","524---Compañías de seguros, fianzas, y administración de fondos para el retiro",531---Servicios inmobiliarios,532---Servicios de alquiler de bienes muebles,"533---Servicios de alquiler de marcas registradas, patentes y franquicias","541---Servicios profesionales, científicos y técnicos",551---Corporativos,561---Servicios de apoyo a los negocios,562---Manejo de residuos y servicios de remediación,611---Servicios educativos,621---Servicios médicos de consulta externa y servicios relacionados,622---Hospitales,623---Residencias de asistencia social y para el cuidado de la salud,624---Otros servicios de asistencia social,"711---Servicios artísticos, culturales y deportivos, y otros servicios relacionados","712---Museos, sitios históricos, zoológicos y similares",713---Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativos,721---Servicios de alojamiento temporal,722---Servicios de preparación de alimentos y bebidas,811---Servicios de reparación y mantenimiento,812---Servicios personales,813---Asociaciones y organizaciones,814---Hogares con empleados domésticos,"931---Actividades legislativas, gubernamentales y de impartición de justicia"
111---Agricultura,0.017458066557465773,0.12753844458492639,0.006121250580177999,0.0005218741412065656,0.004048947132170822,0,0,0,2.9479097447317183E-8,0.000006006313716797097,0.0014815070075370714,0.00002722377854480307,0.07438069319220891,0.05775573834654622,0.1135452301747939,0.0006083880507253764,0.00352078879776714,0.000053042537556874324,0.004722495992788917,0.000017141836140490342,2.1458095784849925E-7,4.765126427009061E-8,0.0011912804112057165,0.001336294147955561,0.00000562804729995858,0,2.4862046813367582E-8,0,1.5523434670364881E-9,1.0750954753991425E-8,0,7.300480460680175E-9,0.0005600262094502883,2.2011802156345437E-7,0,0,0,0,0,0,0,0,0,0,0,0,0.0000030281028383089224,0,0,0,0,0,0,0,0,0,1.751168838874429E-8,0,0,0.0001418314259153212,0,0,0,0.0000026897072187848006,0,0.0012465345603259001,0.010792790678531585,0.007660315577769843,0,0,0,0.025231868477698705,0.041228783818910666,0,0.000021880371955224176,0.00243575475250798,0,0.000031979282270643254
112---Cría y explotación de animales,0.00741988506083026,0.02601783918113125,0,0,0,0,0,0,0,9.891331542274484E-8,0,0,0.14574776484049318,0.000007444900599290432,0.0057704913529644745,0,0,0.00002805856356161206,0,0,0,0,0.0002631340951581287,1.5535680356898078E-7,0,0,0,0,0,0,0,0,0.0005169227215477849,2.678382644062185E-7,0,0,0,0,0,0,0,0,0,0,0,0,0.0000013247949917601538,0,0,0,0,0,0,0,0,0,9.63142861380936E-9,0,0,0.000882058879685063,0,0,0,0,0,0.0006190533634197251,0.004602369947966927,0.0008417741363968231,0,0,0,0,0.0024312821616362577,0,0.000007151735402832528,0,0,0.000002507007881476092
113---Aprovechamiento forestal,0,0,0.04380331761276878,0,0.000005274355795272456,0,0.0000015988423163464077,0,4.086874873378064E-7,5.711895679341603E-8,0,0,0.00031707489462204786,0,0,0.00007007117736601093,0.000002402247193253423,0.0013245496142880449,0.17021114973868237,0.004011398369849704,0,0.0000012468747484007044,0.0030719407661426055,0.0012063252353698112,0.00016631283939944926,5.612728956125756E-7,0.00002953802407942018,0,0.0000012486015953196818,0.000005047573256998974,0,0.004559945800064983,0.0021041452760752638,0.000003618000946797175,0,0,0,0,0,0,0,0,0,0,0,0,0.000003009177195569492,0,0,0,0,0,0,0,0,0,2.705555856060993E-7,0,1.8913120820590382E-8,0.000002102854764511817,0,0,0,9.812868364774902E-9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.657324011839011E-10
"114---Pesca, caza y captura",0,4.968654374364804E-8,0,0.0007088600123995609,0,0,0,0,0,2.786290575288587E-9,0,0,0.0020398508409103563,0,0,0,0,0,0,0.000028340484780774747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000579575155188303,0,0,0,0,0,0,0,0,0,0.00003303514548067468,0,0.001620077481233202,0.0010792806326563153,0,0,0,0,5.360126808287307E-9
115---Servicios relacionados con las actividades agropecuarias y forestales,0.0059486970019331205,0.0016479874735344908,0.0026812301340604664,0.0008527223219411891,0.000025261388282620714,0,0,0,0,0,0,3.3026541968704437E-9,0.001801983765407865,0,0.005298810146812915,0.0001543230524374248,0.0012753546617022104,0,0,0,0,0,9.144983427799397E-10,0,0,0,0,0,0,0,0,0,0.0000024681592379982594,1.6802902409423996E-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000002288305913222599,0,0,0,0,2.8150778327498356E-9,0,0,0,0,0,0,0,1.3354269724984191E-8,4.8292002655055675E-9,0,5.061458824026201E-7,0,0
211---Extracción de petróleo y gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27879480251657723,0.10178984847470282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"212---Minería de minerales metálicos y no metálicos, excepto petróleo y gas",0.00006987196564081726,0.0004258430401134577,0.00011128601003806744,0.0005748783559857919,0.00015471443666132537,0.0005969226350680867,0.016876741857809848,0.0006085746123902778,0.014681710734466955,0.01221377021460604,0.02638374502285861,0.01579806470474894,0.00030091965143640186,0.001752276906751519,5.869480135448819E-7,0.00001218629171582799,0.0000024130925530423773,0.000018846529937243402,0.0000012757528165130365,0.0005856520292733154,0.000039457651425553445,0.0007870390554596576,0.00362302478348854,0.00022275761300308037,0.1482379032278334,0.22232336467234348,0.0012792001201762495,0.00000996723089282123,0.00001164723303317477,0.00047550935329166376,0.00014497783056145058,0.000001927326841619566,0.0020360000729146353,0.0000029831872937691365,0,0,0,0.00001779590342062955,0.00015368350004770352,0.0004972924906506603,0.0008553025996105067,0.00039768836924642385,0.00013926304504942435,0,0.0007613542153200389,0,0.000019398783807916534,0.00014956922926720727,0.00020214041916577467,0.00035044594796643366,0.00006143586157010874,0.00004428743575746964,0,0.0000034196019584596326,0.000002266968264124526,0.0000017450867396504522,0.00009752697055901414,0.00024714829721000074,0.000002345226981753207,0.00009007765447553765,0.0000175275643074768,0.000050107143256666925,0.00003502078884894258,0.000018245066150625975,0.00014060187743452328,0.000006749242750659289,0.00009610618880071737,0.00002119023892127007,0.000019775942775995374,0.00008384038106588288,0.0001670976350538699,0.00010778028924298244,0.00012056043932433942,0.000006075133934006003,0.00002781479069374478,0.000025500111599141525,0,0.000019896790712362486
213---Servicios relacionados con la minería,0,0,0,0,0,0.0035019912263332315,0.000713136016142521,0.0002599915940521276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0517118453064736E-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221---Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.015499353458417974,0.010943504170644443,0.003637561781069841,0.004182678082085304,0.01545756378246077,0.003687212390143874,0.032863609005091055,0.04039298614177754,0.020529212643255267,0.001563601721786961,0.006750369043829108,0.005299425713681526,0.010463343833017712,0.010043536357020549,0.03627676218815158,0.016246509710998322,0.024254698199015216,0.018257440923345716,0.014253799255125323,0.019055104560461646,0.015633737468377394,0.010709971087307512,0.012308343849774684,0.023483514338682076,0.02064277064302514,0.03152511023859537,0.01279789924425268,0.011775478479121752,0.007922250347586908,0.005168958255518259,0.010677394572074662,0.007822983147731515,0.006838970610008864,0.005680322649036335,0.02321696232960956,0.00048518155551173286,0.0013194097698580709,0.00501994864377984,0.0005207383830351602,0.002329811519992552,0.01379158890391893,0.003847624648254342,0.0044404177513984195,0.0032549226595991227,0.0025221430980214483,0.028745378107143994,0.008581643443767486,0.00885563362293569,0.011182261930120996,0.011052813025414068,0.015073890273006868,0.009075491195726433,0.0007915395285034672,0.004077947640479646,0.004261766985479748,0.004070945189733985,0.008837164972911796,0.00869630015929219,0.0007122492169826132,0.006990484293531839,0.0023376001627951554,0.00590438228201223,0.0046169138514810994,0.012053100091971697,0.011184940437105299,0.009515510143518896,0.03247798095565017,0.014543223475059487,0.005203447265404873,0.01577843093079106,0.02188937891801222,0.012697512262217828,0.009362340831937656,0.009738623205821712,0.013040518192728178,0.014330628879389762,0,0.012167670864856069
236---Edificación,0,0,0,0,0,0,0,0,0,0.006756871204897223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000021144037154472377,0.000016375535702352888,0,0,0.0001620439509885711,0,0,0,0,0.0000022178553344344643,0,1.8913120820590382E-8,0,0,0.0006783304529969995,0,8.821768659932637E-7,0.00010080793719077162,0,0,0.00032731403819141226,9.016387283888467E-8,0,0.00029979871646386175,0,0,0.000002728498150010645,0.00009007248230125624,0,0,0
