Descriptores,UPPB---Utilización de la producción a precios básicos,DI---Demanda intermedia|Total,DI---Demanda intermedia|111---Agricultura,DI---Demanda intermedia|112---Cría y explotación de animales,DI---Demanda intermedia|113---Aprovechamiento forestal,"DI---Demanda intermedia|114---Pesca, caza y captura",DI---Demanda intermedia|115---Servicios relacionados con las actividades agropecuarias y forestales,DI---Demanda intermedia|211---Extracción de petróleo y gas,"DI---Demanda intermedia|212---Minería de minerales metálicos y no metálicos, excepto petróleo y gas",DI---Demanda intermedia|213---Servicios relacionados con la minería,"DI---Demanda intermedia|221---Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",DI---Demanda intermedia|236---Edificación,DI---Demanda intermedia|237---Construcción de obras de ingeniería civil,DI---Demanda intermedia|238---Trabajos especializados para la construcción,DI---Demanda intermedia|311---Industria alimentaria,DI---Demanda intermedia|312---Industria de las bebidas y del tabaco,DI---Demanda intermedia|313---Fabricación de insumos textiles y acabado de textiles,"DI---Demanda intermedia|314---Fabricación de productos textiles, excepto prendas de vestir",DI---Demanda intermedia|315---Fabricación de prendas de vestir,"DI---Demanda intermedia|316---Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos",DI---Demanda intermedia|321---Industria de la madera,DI---Demanda intermedia|322---Industria del papel,DI---Demanda intermedia|323---Impresión e industrias conexas,DI---Demanda intermedia|324---Fabricación de productos derivados del petróleo y del carbón,DI---Demanda intermedia|325---Industria química,DI---Demanda intermedia|326---Industria del plástico y del hule,DI---Demanda intermedia|327---Fabricación de productos a base de minerales no metálicos,DI---Demanda intermedia|331---Industrias metálicas básicas,DI---Demanda intermedia|332---Fabricación de productos metálicos,DI---Demanda intermedia|333---Fabricación de maquinaria y equipo,"DI---Demanda intermedia|334---Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos","DI---Demanda intermedia|335---Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica",DI---Demanda intermedia|336---Fabricación de equipo de transporte,"DI---Demanda intermedia|337---Fabricación de muebles, colchones y persianas",DI---Demanda intermedia|339---Otras industrias manufactureras,"DI---Demanda intermedia|431---Comercio al por mayor de abarrotes, alimentos, bebidas, hielo y tabaco","DI---Demanda intermedia|461---Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco",DI---Demanda intermedia|481---Transporte aéreo,DI---Demanda intermedia|482---Transporte por ferrocarril,DI---Demanda intermedia|483---Transporte por agua,DI---Demanda intermedia|484---Autotransporte de carga,"DI---Demanda intermedia|485---Transporte terrestre de pasajeros, excepto por ferrocarril",DI---Demanda intermedia|486---Transporte por ductos,DI---Demanda intermedia|487---Transporte turístico,DI---Demanda intermedia|488---Servicios relacionados con el transporte,DI---Demanda intermedia|491---Servicios postales,DI---Demanda intermedia|492---Servicios de mensajería y paquetería,DI---Demanda intermedia|493---Servicios de almacenamiento,"DI---Demanda intermedia|511---Edición de periódicos, revistas, libros, software y otros materiales, y edición de estas publicaciones integrada con la impresión","DI---Demanda intermedia|512---Industria fílmica y del video, e industria del sonido",DI---Demanda intermedia|515---Radio y televisión,DI---Demanda intermedia|517---Telecomunicaciones,"DI---Demanda intermedia|518---Procesamiento electrónico de información, hospedaje y otros servicios relacionados",DI---Demanda intermedia|519---Otros servicios de información,DI---Demanda intermedia|521---Banca central,DI---Demanda intermedia|522---Instituciones de intermediación crediticia y financiera no bursátil,"DI---Demanda intermedia|523---Actividades bursátiles, cambiarias y de inversión financiera","DI---Demanda intermedia|524---Compañías de seguros, fianzas, y administración de fondos para el retiro",DI---Demanda intermedia|531---Servicios inmobiliarios,DI---Demanda intermedia|532---Servicios de alquiler de bienes muebles,"DI---Demanda intermedia|533---Servicios de alquiler de marcas registradas, patentes y franquicias","DI---Demanda intermedia|541---Servicios profesionales, científicos y técnicos",DI---Demanda intermedia|551---Corporativos,DI---Demanda intermedia|561---Servicios de apoyo a los negocios,DI---Demanda intermedia|562---Manejo de residuos y servicios de remediación,DI---Demanda intermedia|611---Servicios educativos,DI---Demanda intermedia|621---Servicios médicos de consulta externa y servicios relacionados,DI---Demanda intermedia|622---Hospitales,DI---Demanda intermedia|623---Residencias de asistencia social y para el cuidado de la salud,DI---Demanda intermedia|624---Otros servicios de asistencia social,"DI---Demanda intermedia|711---Servicios artísticos, culturales y deportivos, y otros servicios relacionados","DI---Demanda intermedia|712---Museos, sitios históricos, zoológicos y similares",DI---Demanda intermedia|713---Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativos,DI---Demanda intermedia|721---Servicios de alojamiento temporal,DI---Demanda intermedia|722---Servicios de preparación de alimentos y bebidas,DI---Demanda intermedia|811---Servicios de reparación y mantenimiento,DI---Demanda intermedia|812---Servicios personales,DI---Demanda intermedia|813---Asociaciones y organizaciones,DI---Demanda intermedia|814---Hogares con empleados domésticos,"DI---Demanda intermedia|931---Actividades legislativas, gubernamentales y de impartición de justicia",DF---Demanda final|Total,DF---Demanda final|CP---Consumo Privado,DF---Demanda final|CG---Consumo de gobierno,DF---Demanda final|P.51b---Formación bruta de capital fijo,DF---Demanda final|P.52---Variación de existencias,DF---Demanda final|P.6---Exportaciones de bienes y servicios<C1>,DF---Demanda final|YA0---Discrepancia estadística
111---Agricultura,678397.975,320401.756,11843.517,56470.939,176.565,11.884,43.757,0,0,0,0.022,12.934,813.32,8.243,177083.699,25918.67,11607.014,38.741,649.271,4.52,429.401,5.01,0.017,0.048,1302.66,722.522,2.228,0,0.013,0,0.003,0.008,0,0.001,191.277,0.655,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0.04,0,0,87.951,0,0,0,2.741,0,571.808,49.3,259.92,0,0,0,10232.949,21611.177,0,4.889,202.119,0,41.763,357996.219,146810.147,0,6830.104,0,204355.968,0
112---Cría y explotación de animales,442775.8169999999,366767.26099999994,5033.635,11520.07,0,0,0,0,0,0,0,0.213,0,0,346992.643,3.341,589.881,0,0,2.391,0,0,0,0,287.736,0.084,0,0,0,0,0,0,0,0,176.555,0.797,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0.022,0,0,546.973,0,0,0,0,0,283.971,21.023,28.562,0,0,0,0,1274.422,0,1.598,0,0,3.274,76008.556,53631.885,0,6778.314,4318.531,11279.826,0
113---Aprovechamiento forestal,28844.595999999994,24243.172999999995,0,0,1263.489,0,0.057,0,0.672,0,0.305,0.123,0,0,754.884,0,0,4.462,0.443,112.871,15476.739,1172.401,0,1.256,3359.154,652.249,65.839,0.476,15.445,0,2.413,3.756,0,624.609,718.671,10.766,0,0,0,0,0,0,0,0,0,0,0,0,0.159,0,0,0,0,0,0,0,0,0,0.618,0,0.001,1.304,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,4601.423,3231.276,0,0,0,1370.147,0
"114---Pesca, caza y captura",22771.774,6107.669000000001,0,0.022,0,16.142,0,0,0,0,0,0.006,0,0,4856.426,0,0,0,0,0,0,8.283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.594,0,0,0,0,0,0,0,0,0,0.422,0,657.033,565.734,0,0,0,0,0.007,16664.105,11948.884,0,0,0,4715.221,0
115---Servicios relacionados con las actividades agropecuarias y forestales,10807.007,9941.466,4035.584,729.689,77.339,19.418,0.273,0,0,0,0,0,0,0.001,4290.118,0,541.664,9.827,235.189,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.843,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.419,0,0,0,0,0.001,0,0,0,0,0,0,0,0.007,0.001,0,0.042,0,0,865.541,865.541,0,0,0,0,0
211---Extracción de petróleo y gas,885427.9750000001,392141.923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280835.162,111306.761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493286.052,0,0,0,0,493286.052,0
"212---Minería de minerales metálicos y no metálicos, excepto petróleo y gas",420304.11200000014,322016.27400000015,47.401,188.553,3.21,13.091,1.672,528.532,7093.364,93.033,10956.836,26301.141,14484.189,4783.445,716.422,786.358,0.06,0.776,0.445,1.606,0.116,171.167,3.126,792.799,3961.762,120.443,58683.595,188546.289,668.875,6.991,22.509,353.836,553.022,0.264,695.396,8.877,0,0,0,0.568,191.528,361.969,21.962,1.926,32.623,0,35.1,0,1.025,10.54,18.047,158.565,1.159,0.129,0,3.216,0.085,0.612,222.77,19.966,0.124,55.858,3.743,50.346,0.895,18.593,49.946,3.096,0.439,0.719,1.316,1.071,16.658,43.711,63.195,1.258,6.215,2.116,0,25.984,98287.838,0,0,0,1632.982,96654.856,0
213---Servicios relacionados con la minería,152870.327,3440.4139999999998,0,0,0,0,0,3100.761,299.734,39.745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149429.913,0,0,149424.465,5.448,0,0
"221---Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",746291.5049999999,451489.3579999999,10514.73,4845.519,104.924,95.247,167.05,3264.761,13812.71,6174.889,15320.777,3367.061,3705.828,1604.596,24910.868,4507.173,3708.345,1034.547,4472.825,1555.801,1296.051,5569.186,1238.57,10788.352,13459.121,12697.321,8171.945,26735.573,6691.834,8259.302,15310.24,3846.325,40729.221,1071.571,2335.851,16902.802,66376.905,110.626,90.62,160.224,648.97,1695.822,354.133,18.634,1040.188,15.941,116.276,1875.342,453.44,624.048,998.347,5001.026,284.372,26.435,34.145,3835.148,159.795,1427.676,20185.752,702.535,37.659,4334.865,499.193,5932.528,117.991,12282.953,3973.226,4364.937,148.355,493.462,346.266,201.558,2182.157,5149.559,4907.523,2016.612,2913.803,1189.156,0,15890.239,294802.147,290419.674,0,0,0,4382.473,0
236---Edificación,2153400.673,15337.364,0,0,0,0,0,0,0,0,0,14550.251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149,1.462,0,0,0.472,0,0,0,0,5.066,0,0.001,0,0,681.564,0,0.899,35.81,0,0,11.106,0.006,0,29.887,0,0,0.565,20.126,0,0,0,2138063.309,0,43.471,2138019.838,0,0,0
