Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023<R>,2024<P>
Millones de pesos a precios de 2018|B.1bP---Producto interno bruto<C1>,17899317.915,18537507.509999998,18929250.875000004,19838803.942,20251027.283999994,20442061.698000006,19155182.674999997,20107450.915,20799960.586,21539026.998999998,21722561.397,22266442.952000003,22868154.245999996,23273490.765,23709107.313999996,24176670.379,24081730.905,22069934.772,23404831.102999996,24273093.489,25027209.096000005,25365220.652
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos",1094725.7809999997,1128153.966,1167183.815,1231318.112,1226031.2459999998,1278244.5540000002,1123812.2500000002,1117820.259,1125335.575,1140752.7950000002,1130864.6759999997,1158660.835,1220760.45,1248193.4370000002,1272504.3889999997,1303024.8339999998,1308297.938,1127075.0229999998,1255235.3269999998,1333448.4849999994,1388965.8630000001,1409812.167
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,16804592.134,17409353.544,17762067.060000002,18607485.830000002,19024996.037999995,19163817.144000005,18031370.424999997,18989630.656,19674625.011,20398274.203999996,20591696.721,21107782.117000002,21647393.795999996,22025297.328,22436602.924999997,22873645.545,22773432.967,20942859.749,22149595.775999997,22939645.004,23638243.233000003,23955408.485
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,592478.46,607316.558,588558.452,623901.414,651138.9999999999,656325.5020000001,638074.598,653518.474,637703.495,676312.6910000001,696704.5889999999,718687.394,732003.814,753344.6379999999,777962.3809999999,797095.0210000001,799476.894,808429.88,827208.7869999999,840161.1930000001,830701.7679999999,833913.2300000001
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",592478.46,607316.558,588558.452,623901.414,651138.9999999999,656325.5020000001,638074.598,653518.474,637703.495,676312.6910000001,696704.5889999999,718687.394,732003.814,753344.6379999999,777962.3809999999,797095.0210000001,799476.894,808429.88,827208.7869999999,840161.1930000001,830701.7679999999,833913.2300000001
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",355500.33300000004,369183.307,349988.351,378814.687,399360.26,403941.57900000014,381684.33100000006,393368.271,374888.21499999997,409885.01,435956.727,453886.71400000004,461253.37400000007,483714.69700000004,502630.5819999999,516354.555,515043.971,514807.51199999993,528198.9770000001,536517.6790000001,519806.257,513521.49700000003
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",204213.67,206493.116,207329.562,214096.783,218313.984,220156.51199999996,224744.542,228008.38800000006,230945.29,234097.702,228484.0849999999,231559.436,235181.281,232400.16499999998,237117.649,242533.09600000002,248050.191,256152.522,260707.41499999998,265220.90800000005,272144.58400000003,282479.019
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",6893.918,6607.349,6951.523999999999,6307.490000000001,7190.266,6861.095,6977.216,7276.351999999999,7341.563,7054.111000000001,7631.996000000001,8353.092,10072.683,10435.048999999999,9744.366,9602.664,7801.647,7299.256999999999,8093.383999999999,7563.0430000000015,7824.494,7970.31
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",25870.539,25032.786000000004,24289.015,24682.453999999998,26274.489999999994,25366.316,24668.509000000002,24865.462999999996,24528.42699999999,25275.867999999995,24631.781000000003,24888.151999999995,25496.476,26794.727000000003,28469.784000000003,28604.705999999995,28581.085000000003,30170.589,30209.010999999995,30859.563,30926.433,29942.403999999995
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,6394551.313,6638785.308,6789769.025,7132703.181,7214335.832999999,7153745.822000002,6574555.695999999,6883599.458000001,7100147.529,7353430.328,7314690.187,7527294.251,7664315.140999999,7686208.15,7734333.207,7747139.727,7612259.341,6939484.905000001,7382228.209000001,7733205.023000001,7962775.648000002,7928502.291999999
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería<C1>,1269484.2780000002,1291603.669,1298595.3590000002,1288184.4759999998,1273162.0669999998,1214802.507,1169413.1379999998,1191734.38,1198964.905,1220716.115,1220760.4960000003,1200782.398,1144886.0760000001,1102587.1530000002,1013837.371,948326.5819999999,897385.93,893556.6930000002,916472.5970000001,954107.17,958259.5789999999,890253.124
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,1102514.5110000002,1118276.466,1111464.833,1103153.8159999996,1070840.852,1019474.483,977530.4169999999,975269.864,963952.523,962456.909,949818.3610000001,929432.7170000001,873746.5370000001,820233.4010000001,732050.476,674626.071,633840.4260000001,636151.2010000001,646499.6780000001,675495.7420000001,689024.188,644891.5489999999
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,166969.76700000002,173327.20300000004,187130.526,185030.66000000003,202321.21499999997,195328.02400000003,191882.72100000002,216464.516,235012.382,258259.206,270942.13500000007,271349.68100000004,271139.53900000005,282353.75200000004,281786.895,273700.511,263545.50399999996,257405.49200000006,269972.919,278611.42799999996,269235.391,245361.57500000007
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|22---Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final<C1>",216956.772,266460.86100000003,284907.36400000006,327420.31899999996,350086.33199999994,360350.768,358037.95599999995,367932.20600000006,390907.8610000001,396321.76399999997,402739.21699999995,427125.966,431924.744,428609.692,448388.402,456907.22300000006,432839.8619999999,413494.31899999996,321356.72099999996,322410.86699999997,314511.836,307224.216
